tiempo,referencia,hc,f_pid,y_hat
51,40,37.7859,0.0940821250000451,35.26812
76,40,43.2793,39.7178801260206,42.851505
101,40,41.3069,0.0,41.699223
126,40,41.4068,0.0,40.102352
151,40,39.2861,0.0,39.28771
176,40,36.9976,12.9575703616449,36.997906
201,40,34.5496,53.6691022427915,34.55542
226,40,31.8978,97.4149081677146,31.874002
251,40,34.0727,100.0,34.174088
276,40,40.3123,100.0,40.295547
301,40,45.3049,0.0,45.270313
326,40,49.425,0.0,49.49492
351,40,47.7693,0.0,47.69628
376,40,45.9597,0.0,45.986885
401,39,44.1083,0.0,44.091507
426,39,42.1249,0.0,42.142017
451,39,40.0284,0.0,40.029404
476,39,37.7933,0.0,37.789726
501,39,35.4143,21.7814260493309,35.400658
526,39,32.836,64.1266116017522,32.871742
551,39,30.9663,100.0,31.009214
576,39,34.5682,100.0,34.682453
601,39,40.8827,79.1096032034783,40.944695
626,39,45.8101,0.0,45.729866
651,39,48.5233,0.0,48.731064
676,39,46.752,0.0,46.797737
701,39,44.946,0.0,44.924698
726,39,43.015,0.0,43.02271
751,39,40.9877,0.0,40.983253
776,39,38.8087,0.0,38.815823
801,27,36.4989,3.34255606061116,36.485493
826,27,33.9958,0.0,33.93761
851,27,31.2712,0.0,31.231728
876,27,28.269,0.0,28.247358
901,27,24.8516,0.0,24.850464
926,27,20.8721,38.4431592885337,20.923119
951,27,15.9604,100.0,16.050444
976,27,18.7805,100.0,18.752558
1001,27,31.4743,100.0,31.473341
1026,27,38.7038,0.0,38.70395
1051,27,44.0383,0.0,44.036316
1076,27,42.0756,0.0,42.07148
1101,27,39.9786,0.0,39.978462
1126,27,37.7404,0.0,37.736687
1151,27,35.396,0.0,35.344116
1176,27,32.7418,0.0,32.84111
1201,24,29.9469,0.0,29.890354
1226,24,26.7406,0.0,26.767263
1251,24,23.1355,0.0,23.091152
1276,24,18.7298,15.5558162564202,18.836391
1301,24,13.15,93.9222712103489,12.923458
1326,24,5.3737,100.0,6.6047797
1351,24,27.0962,100.0,26.929077
1376,24,35.8405,0.0,35.81532
1401,24,41.8285,0.0,41.79962
1426,24,39.7753,0.0,39.814808
1451,24,37.5147,0.0,37.52355
1476,24,35.0934,0.0,35.102257
1501,24,32.4778,0.0,32.51337
1526,24,29.6163,0.0,29.597746
1551,24,26.3844,0.0,26.395256
1576,24,22.6759,0.0,22.684532
1601,47,18.229,23.5317711083767,18.243895
1626,47,12.4426,100.0,12.561953
1651,47,10.3767,100.0,10.777559
1676,47,28.8325,100.0,28.993538
1701,47,36.9287,100.0,36.831768
1726,47,42.6692,100.0,42.667927
1751,47,47.2212,77.2777479978501,47.24246
1776,47,51.0573,0.0,51.039085
1801,47,53.1897,0.0,53.195908
1826,47,51.6449,0.0,51.6441
1851,47,50.022,0.0,50.040558
1876,47,48.3307,0.0,48.343876
1901,47,46.5396,0.0,46.578518
1926,47,44.7376,8.00892200104389,44.70184
1951,47,42.7877,40.1684078538344,42.743626
1976,47,40.7246,75.1846531718039,40.635147
2001,38,40.9291,100.0,40.883358
2026,38,43.926,0.0,43.89159
2051,38,48.292,0.0,48.083233
2076,38,46.5341,0.0,46.52708
2101,38,44.726,0.0,44.6943
2126,38,42.7116,0.0,42.79091
2151,38,40.6952,0.0,40.65155
2176,38,38.5053,0.0,38.50533
2201,38,36.1665,0.0,36.161777
2226,38,33.6432,32.6844201780405,33.66158
2251,38,30.8732,77.7960742020847,30.871344
2276,38,30.5422,100.0,30.557816
2301,38,35.7572,100.0,35.670624
2326,38,41.753,39.8123342650413,41.811367
2351,38,46.4812,0.0,46.523926
2376,38,46.5296,0.0,46.483902
2401,23,44.6761,0.0,44.670868
2426,23,42.7205,0.0,42.740685
2451,23,40.6722,0.0,40.66563
2476,23,38.4966,0.0,38.47849
2501,23,36.1854,0.0,36.153576
2526,23,33.6249,0.0,33.683727
2551,23,30.874,0.0,30.879341
2576,23,27.801,0.0,27.803228
2601,23,24.3418,0.0,24.310474
2626,23,20.2635,0.0,20.335093
2651,23,15.1699,48.4486017403678,15.272187
2676,23,7.7664,100.0,7.4712706
2701,23,17.8537,100.0,17.80292
2726,23,31.1249,91.8896701959135,31.06483
2751,23,38.4347,0.0,38.314762
2776,23,43.1796,0.0,42.59696
2801,40,41.2087,0.0,41.19383
2826,40,39.0141,0.0,39.055202
2851,40,36.7736,17.0329268159464,36.702957
2876,40,34.2632,57.5311599937207,34.37232
2901,40,31.8842,100.0,32.01034
2926,40,34.5917,100.0,34.653374
2951,40,40.8647,96.2862547215668,40.978947
2976,40,45.7903,0.0,45.701042
3001,40,49.6168,0.0,49.693043
3026,40,47.9312,0.0,47.909916
3051,40,46.1386,0.0,46.1594
