tiempo,referencia,hc,f_pid,y_hat
123201,19,6.11467790243111,24.1684955077666,6.34718
123206,19,3.99354625214402,55.2780317985705,4.2140656
123211,19,4.46927597336231,64.3776865783022,4.622595
123216,19,10.4107173109508,62.3368060742757,10.444668
123221,19,13.9258397793998,36.8480227360212,13.974805
123226,19,16.5069770291475,21.768147346375,16.150274
123231,19,17.1564545097313,10.6950685449571,17.07563
123236,19,16.2652657854332,7.90881015325287,16.584152
123241,19,15.2881168531921,11.7320097804914,15.061806
123246,19,13.8626442321846,15.9239786998058,14.110493
123251,19,12.3354559620966,22.0392562439281,12.51386
123256,19,10.8818969679794,28.5908939226055,11.015691
123261,19,10.245081779505,34.8266620073683,10.171661
123266,19,10.3356196823782,37.5585991659234,10.446409
123271,19,11.13118861099,37.1701915625976,11.283669
123276,19,12.1422486700976,33.757200858853,12.219417
123281,19,13.1675823977003,29.4197532052815,13.064545
123286,19,13.4335143679542,25.0210715138659,13.74266
123291,19,13.5071772610921,23.8802233614764,13.403468
123296,19,13.164761109779,23.5642095499148,13.264346
123301,19,12.6799791916579,25.0331748390481,12.735539
123306,19,12.0970970937153,27.1128892677878,12.263338
123311,19,11.6757704660302,29.6134534679614,11.7879305
123316,19,11.6197884773407,31.4209447007306,11.611353
123321,19,11.6651453260729,31.6611074322085,11.882321
123326,19,11.9707386474866,31.4665265511474,12.02132
123331,19,12.3846529597748,30.1555312022824,12.408491
123336,19,12.5265660640217,28.379838802566,12.775541
123341,19,12.5528332979486,27.7710315853469,12.652796
123346,19,12.59976330122,27.6583451518004,12.569107
123351,19,12.4487293135987,27.4570154377661,12.624514
123356,19,12.272957898582,28.1049512446617,12.374134
123361,19,12.2276698920855,28.859010615083,12.228452
123366,19,12.1318810891283,29.0532961629531,12.281719
123371,19,12.3808743952695,29.4642301276394,12.198717
123376,19,12.4346350851958,28.396048844294,12.619121
123381,19,12.3813600460133,28.16541548451,12.503054
123386,19,12.4498055366765,28.3939654026029,12.396306
123391,19,12.2271111420622,28.100334247658,12.533824
123396,19,12.1276343918018,29.055693200553,12.163342
123401,19,11.9724279063737,29.4824484591702,12.169538
123406,19,12.2447109283342,30.1482842816566,12.044159
123411,19,12.3192459610657,28.9801901174464,12.541073
123416,19,12.4234523327829,28.6604348270283,12.457054
123421,19,12.4488947231926,28.2133894923612,12.538853
123426,19,12.3001350192035,28.1042416375037,12.496328
123431,19,12.4805729412542,28.7424207676171,12.272626
123436,19,12.2712562445861,27.9683420820196,12.625044
123441,19,12.3578914156106,28.8663107107256,12.196357
123446,19,12.2135526321071,28.4946458270305,12.463786
123451,19,12.2384319083469,29.1138592082607,12.210874
123456,19,12.2353903577138,29.0071271131918,12.347978
123461,19,12.3295286191483,29.0201753654078,12.338986
