tiempo,referencia,hc,f_pid,predicted_hc
0,25,1e-06,0,1e-06
1,25,-0.00114879571550508,0,1e-06
2,25,0.0689187573707515,0,1e-06
3,25,-0.166948438761059,0,1e-06
4,25,0.0421464943421938,0,1e-06
5,25,0.133704465325442,0,1e-06
6,25,-0.020611637068817,0,1e-06
7,25,0.0591273650493691,0,1e-06
8,25,0.0666648910166017,0,1e-06
9,25,0.212536562898424,0,1e-06
10,25,0.125859366035068,0,1e-06
11,25,-0.185340896030607,0,1e-06
12,25,-0.0655844536281888,0,1e-06
13,25,-0.100318843503703,0,1e-06
14,25,-0.0224113285168496,0,1e-06
15,25,-0.0619070272477837,0,1e-06
16,25,0.13896257082729,0,1e-06
17,25,-0.0312025973752409,0,1e-06
18,25,6.68754052412432,100,6.45406727293767
19,25,9.44865670187913,100,9.25092747565192
20,25,11.2004306993671,100,11.2480878249531
21,25,13.0166429574417,100,12.8520205314668
22,25,14.2092914638649,100,14.2134932642929
23,25,15.2724766047104,100,15.4075301706521
24,25,16.6226386964249,100,16.4776430934218
25,25,17.155107899665,100,17.4516162351665
26,25,18.4376699287934,100,18.3484130787958
27,25,19.1206426086754,100,19.1816274062866
28,25,20.1719425962157,100,19.9613782319821
29,25,20.7022590820783,100,20.6954268565257
30,25,21.2330764219983,100,21.3898729735317
31,25,22.0902235060892,100,22.0496083021654
32,25,22.8418934653416,100,22.6786233027103
33,25,23.2669427544789,100,23.2802210669519
34,25,23.9020950912847,100,23.8571704537143
35,25,24.071694291464,23.5500602919436,23.8134761337652
36,25,23.4814631919757,23.5500602919436,23.7376293860343
37,25,23.4808207297083,23.5500602919436,23.6616572372387
38,25,23.7740349423643,23.5500602919436,23.5855595089623
39,25,23.6515088621485,23.5500602919436,23.5093360293372
40,25,23.3095693264489,23.5500602919436,23.4329866332689
41,25,23.2394298740724,23.5500602919436,23.3565111626665
42,25,23.3464771894122,23.5500602919436,23.2799094666807
43,25,22.8671828438002,23.5500602919436,23.2031814019476
44,25,23.2712821252948,23.5500602919436,23.1263268328393
45,25,22.9493104361082,23.5500602919436,23.0493456317222
46,25,23.171346678199,23.5500602919436,22.9722376792211
47,25,22.9815148383368,23.5500602919436,22.8950028644923
48,25,22.9050345069791,23.5500602919436,22.8176410855031
49,25,22.6985236646261,23.5500602919436,22.7401522493195
50,25,22.6617027036854,23.5500602919436,22.6625362724016
51,25,22.4481728454821,23.5500602919436,22.584793080908
52,25,22.9572041605844,54.7366924644093,22.7754917150562
53,25,22.867798285649,54.7366924644093,22.9769551978011
54,25,23.2354328747039,54.7366924644093,23.1750963552617
55,25,23.3463310945133,54.7366924644093,23.3700407050662
56,25,23.3411172405056,54.7366924644093,23.5619063990175
57,25,23.7082822808261,54.7366924644093,23.7508048035007
58,25,23.9762277597309,54.7366924644093,23.9368410229421
59,25,24.0908475869985,54.7366924644093,24.1201143729674
60,25,24.3643166906908,54.7366924644093,24.3007188090052
61,25,24.5389802174902,54.7366924644093,24.4787433153317
62,25,24.6960879454268,54.7366924644093,24.6542722589011
63,25,24.7381823862827,54.7366924644093,24.8273857117579
64,25,24.9682574343331,54.7366924644093,24.9981597453555
65,25,25.3594829802835,54.7366924644093,25.1666666996967
66,25,25.4838944951499,54.7366924644093,25.3329754298653
67,25,25.4770633324186,54.7366924644093,25.497151532212
68,25,25.6472846047873,54.7366924644093,25.6592575521987
69,25,25.5565202137392,0,25.5327290147053
70,25,25.4075733805933,0,25.390257797383
71,25,25.2403843205489,0,25.246945517022
72,25,25.3074475677205,0,25.1027787045377
73,25,25.138331086919,0,24.95774353545
74,25,24.7964406925677,0,24.8118258167354
75,25,24.5654895912564,0,24.665010973049
76,25,24.3405333381766,0,24.5172840322806
77,25,24.4150779953842,0,24.3686296104058
