tiempo,referencia,hc,f_pid,predicted_hc
0,25,1e-06,0,1e-06
1,25,-0.00114879571550508,0,1e-06
2,25,0.0689187573707515,0,1e-06
3,25,-0.166948438761059,0,1e-06
4,25,0.0421464943421938,0,1e-06
5,25,0.133704465325442,0,1e-06
6,25,6.43345463586885,100,6.45406727293767
7,25,9.31005384070129,100,9.25092747565192
8,25,11.3147517159697,100,11.2480878249531
9,25,13.0645560943652,100,12.8520205314668
10,25,14.339351630328,100,14.2134932642929
11,25,15.2221882746215,100,15.4075301706521
12,25,16.4120576397936,100,16.4776430934218
13,25,17.3512963916628,100,17.4516162351665
14,25,18.326000750279,100,18.3484130787958
15,25,19.1197193790388,100,19.1816274062866
16,25,20.1003398028094,100,19.9613782319821
17,25,20.6642232591505,100,20.6954268565257
18,25,21.6233462247183,100,21.3898729735317
19,25,22.2473375283926,100,22.0496083021654
20,25,22.6309661771243,100,22.6786233027103
21,25,23.4448434929268,100,23.2802210669519
22,25,23.8529686532862,100,23.8571704537143
23,25,24.2767646767296,100,24.4118182426714
24,25,25.0911685168105,100,24.9461729138074
25,25,25.1654599930401,100,25.4619683285416
26,25,25.4409740676358,0,25.3517172176382
27,25,25.1471911761346,0,25.2081759737458
28,25,25.2743408716647,0,25.0637765074312
29,25,24.9253371217612,0,24.9185048962086
30,25,24.6155502938652,0,24.7723468453986
31,25,24.7129178174175,20.6161154914761,24.6723026134937
32,25,24.7376842950022,20.6161154914761,24.5744141323709
33,25,24.4629413732899,20.6161154914761,24.476219685763
34,25,24.4226415330957,20.6161154914761,24.3777168955253
35,25,24.5371215142982,20.6161154914761,24.2789033565994
36,25,23.9563549892084,24.8218587957585,24.212521183267
37,25,23.9669554244652,24.8218587957585,24.1477919319956
38,25,24.271474077836,24.8218587957585,24.082998644434
39,25,24.1603143571009,24.8218587957585,24.0181415242897
40,25,23.8298034754361,24.8218587957585,23.9532207822561
41,25,24.0694458871357,62.7517886297402,24.1865271757297
42,25,24.4975944646258,62.7517886297402,24.4310267418943
43,25,24.3351033335125,62.7517886297402,24.6711018916598
44,25,25.0518939160033,62.7517886297402,24.9069386235478
45,25,25.0386755993549,62.7517886297402,25.1387107949688
46,25,25.2118142426424,0,25.0127052436645
47,25,24.9536350109587,0,24.8671230371142
48,25,24.8080426859665,0,24.7206492644906
49,25,24.5316405208067,0,24.5732691055001
50,25,24.4241337650341,0,24.4249673337503
51,25,24.2662418927755,30.880826850047,24.4028621282014
52,25,24.5691683512294,30.880826850047,24.3874559057012
53,25,24.2629248896946,30.880826850047,24.3720818018467
54,25,24.4170763527494,30.880826850047,24.3567398333073
55,25,24.3177204058533,30.880826850047,24.3414300164062
56,25,24.1493678277218,36.5872432361143,24.3701569862337
57,25,24.3585270610186,36.5872432361143,24.4010495836931
58,25,24.4711751846617,36.5872432361143,24.431788447873
59,25,24.4331081505606,36.5872432361143,24.4623749365295
60,25,24.5564082708654,36.5872432361143,24.4928103891797
61,25,24.485406396818,23.7876064748437,24.4251694946596
62,25,24.3940777711132,23.7876064748437,24.3522620845875
63,25,24.1900396794669,23.7876064748437,24.2792430049421
64,25,24.1762098176355,23.7876064748437,24.2061121286579
65,25,24.3256856148505,23.7876064748437,24.1328693342638
66,25,24.3073005623175,36.1601089036397,24.1563814970329
67,25,24.1647639318396,36.1601089036397,24.184852131633
68,25,24.2012104975824,36.1601089036397,24.2131834449938
69,25,24.2651678211295,36.1601089036397,24.2413766220956
70,25,24.2867484158579,36.1601089036397,24.2694328326476
71,25,24.3069368707899,38.2481161996216,24.3134980672629
72,25,24.562821028509,38.2481161996216,24.3581521653261
73,25,24.5831326632092,38.2481161996216,24.4025451117402
74,25,24.4312947108089,38.2481161996216,24.4466798349767
