tiempo,referencia,hc,f_pid,predicted_hc
0,25,1e-06,0,1e-06
1,25,0.376894199359828,100,1e-06
2,25,6.54842113608864,100,6.45406727293767
3,25,9.46381844173126,100,9.25092747565192
4,25,11.3191121151837,100,11.2480878249531
5,25,12.9545047006562,100,12.8520205314668
6,25,14.0013446198708,100,14.2134932642929
7,25,15.3944944520459,100,15.4075301706521
8,25,16.5469153412609,100,16.4776430934218
9,25,17.4577073217976,100,17.4516162351665
10,25,18.0800229508528,100,18.3484130787958
11,25,19.3200416672473,100,19.1816274062866
12,25,19.7317597887678,100,19.9613782319821
13,25,20.480033546931,100,20.6954268565257
14,25,21.4213739386515,100,21.3898729735317
15,25,22.0620555564411,100,22.0496083021654
16,25,22.5906574017046,100,22.6786233027103
17,25,23.2592700611188,100,23.2802210669519
18,25,23.9716127321811,100,23.8571704537143
19,25,24.5258391288364,50.8683408104457,24.4118182426714
20,25,24.753039899096,26.5011028186325,24.5769597928478
21,25,24.7509736538705,26.7227308580116,24.5358427044146
22,25,24.5669948905071,46.4544766621214,24.4866506874257
23,25,24.4570665288836,58.2443341920183,24.5881421030285
24,25,24.8942368582218,11.3578674605428,24.7852316886503
25,25,24.4087392104864,63.4275001324722,24.6556904564281
26,25,24.8667703318662,14.3037180021343,24.8778863215925
27,25,24.871387267119,13.80856423318,24.7508649541761
28,25,24.9491577962966,5.46768708133726,24.603672546674
29,25,24.6439668728076,38.199418409787,24.4555616937143
30,25,24.306528535117,74.3897136298165,24.4894430217453
31,25,24.7752117960447,24.1234991509861,24.8062105071053
32,25,24.8531474200163,15.764924632603,24.7564191886981
33,25,24.5817396023238,44.8734268989558,24.6234576787208
34,25,24.7375913492888,28.1583663952597,24.7074274046701
35,25,24.8188523910895,19.4431443547947,24.6763979698764
36,25,24.8062007647996,20.8000483203682,24.5726181909846
37,25,24.4717551285851,56.6693610408822,24.4753536898336
38,25,24.7385173285824,28.0591647990162,24.6520588090706
39,25,24.6661137021382,35.8244783406798,24.6250345647416
40,25,24.5522565905175,48.0356849807019,24.6455131138142
41,25,24.7053393162061,31.6176047832512,24.7610210221305
42,25,24.705203471821,31.6322018211165,24.7572112450301
43,25,24.7857029769847,22.9986576326637,24.7470329267145
44,25,24.8592738316151,15.1082036389065,24.6717725123298
45,25,24.7265498174705,29.3428673982522,24.5329041212858
46,25,24.3513704311118,69.5808823168799,24.4991605372994
47,25,24.8219201748299,19.1144833391525,24.7761585857976
48,25,24.6053562983699,42.3409758468063,24.6866861114745
49,25,24.8801776621859,12.8664217135086,24.7524314436033
50,25,24.747507293886,27.0953299889615,24.6163861470828
51,25,24.6599828448287,36.4823509099207,24.5651974739906
52,25,24.5061847219564,52.9772315835792,24.5905446902303
53,25,24.6479854490999,37.769150065464,24.744089455323
54,25,24.9805177030508,2.10509895379829,24.7884973849188
55,25,24.6173069517445,41.0594538646783,24.6508325961511
56,25,24.7656225898324,25.1526376911744,24.7053037242218
57,25,24.864309989672,14.5684361132834,24.650033081108
58,25,24.2480944035623,80.6575704919798,24.5077845366473
59,25,24.6370737554617,38.9396057550922,24.8617195713434
60,25,24.7698388987625,24.7005782874397,24.925002868643
61,25,24.8883590703992,11.9893115375644,24.865629507563
62,25,24.7714350910724,24.5294188257686,24.723223448751
63,25,24.6761845885086,34.7450567337018,24.6526543184214
64,25,24.5216133080143,51.3228570377428,24.6634543170866
65,25,24.778167333632,23.80748280643,24.8030133155971
66,25,24.8640658564781,14.5948871056384,24.7417266319933
67,25,24.7961227075283,21.881802621911,24.5996816842273
68,25,24.4811393281331,55.6637892469003,24.5088147916911
69,25,24.6230328782478,40.445754821884,24.6778883926119
70,25,24.8853124879702,12.3163021517686,24.7438880096916
71,25,24.5003542215162,53.6030870210454,24.6070399281725
72,25,24.935789388874,6.90271233859648,24.7563619627317
73,25,24.9195611164144,8.6432006021082,24.6248247422352
74,25,24.2891948414639,76.249991159849,24.4768464696186
75,25,24.6655668274059,35.8841625543254,24.7984697660616
76,25,24.9027202951062,10.4494846136367,24.8376185445001
77,25,24.8084614678104,20.5587529951303,24.6994815219
78,25,24.6822004886877,34.1002610298159,24.5987640548128
79,25,24.4804101754153,55.7423020332191,24.6032858405975
80,25,24.7478715470338,27.0571188205288,24.7765040301642
81,25,24.6637792201199,36.0760446073344,24.7414152122654
82,25,25.0876105943829,0,24.7628962227282
83,25,24.5014435663652,53.4865668667443,24.6244133143632
84,25,25.0041116517942,0,24.7726484124164
85,25,24.7050280060392,31.652182238963,24.6411499214729
86,25,24.5782105214053,45.2533852228084,24.6245407079808
87,25,24.6983703422407,32.3662841286081,24.7176588086954
88,25,24.7536980563619,26.4324151724547,24.7185076125875
89,25,25.0133053238395,0,24.6694639869985
90,25,24.3804298475931,66.4654524878892,24.5265861466115
91,25,24.6867991257768,33.6074057042419,24.7737713234084
92,25,24.7372497090222,28.1966101233792,24.7921319469588
93,25,24.487223497467,55.0119460374728,24.7568521858173
94,25,25.0423049919949,0,24.9202454548671
95,25,24.647399987663,37.8330617353254,24.7901157416436
96,25,25.1181883509076,0,24.8195676120496
97,25,24.6085276950639,42.0021371747145,24.6821022937726
98,25,24.9069137806754,10.0002663304227,24.7434687290102
99,25,24.6754382586558,34.8260248264419,24.6072389273144
100,25,24.6502443233674,37.5281049273826,24.6147841685301
101,25,24.6020272410217,42.6994199209663,24.6508958368821
102,25,24.7829208850458,23.2986140486217,24.7268839795418
103,25,24.2658944570339,78.7497188800384,24.658258124639
104,25,24.9684062254005,3.40540080205313,24.9977730040517
105,25,25.1793393583898,0,24.8773514301209
106,25,24.8018962213913,21.2635848291748,24.730940598956
107,25,24.5982834418418,43.1010740774332,24.635666030178
108,25,24.8338656717478,17.83491772154,24.7083553975788
109,25,24.4968387880388,53.9810666325665,24.5984407784819
110,25,25.0204476617168,0,24.7520664672507
111,25,24.8003925667044,21.424969294028,24.6206573805437
112,25,24.5394444754098,49.4116708684376,24.5262865661355
113,25,24.5835251672027,44.6840600119183,24.6476956827962
114,25,24.816085502158,19.7420032782417,24.7433501662492
115,25,24.6120897354932,41.6205665593999,24.6486402123578
116,25,24.6685207507672,35.5683766736223,24.7094720282136
117,25,24.5858964357332,44.4298656532096,24.733030439864
118,25,24.8030490324449,21.1402886230272,24.8205806740203
119,25,24.6764770589967,34.7151513084377,24.7365234354966
120,25,25.0150542513424,0,24.7454539803662
121,25,24.5214261948833,51.3443855115023,24.6063295910365
122,25,24.7600982580288,25.7468517729389,24.7386712166272
123,25,24.7565068406457,26.1320538620295,24.6919826385818
124,25,24.9632604958401,3.95774725514083,24.6380288187104
125,25,24.3694856713818,67.6401006354775,24.4948434174602
126,25,24.9540383294234,4.94688739191131,24.7514436953202
127,25,24.6601185009104,36.4697933249239,24.6254725722514
128,25,24.5397493392134,49.3794178997856,24.6454018316781
129,25,24.7125091864222,30.8509675962223,24.7712608489431
130,25,24.617731729596,41.0158768937171,24.7621937358563
131,25,24.774943381121,24.154963239104,24.8221078698347
132,25,24.7939943259313,22.1117705860292,24.7593779291366
133,25,24.7586794629567,25.8993090251853,24.6744714152529
134,25,24.4714904319128,56.7003553129112,24.6172979558027
135,25,24.6720156391789,35.1940765663723,24.7942780153155
136,25,24.7885684371577,22.69381984647,24.8205946082358
137,25,24.6186348588105,40.9192160199182,24.7445750147017
138,25,24.69870795497,32.3314123432779,24.8006685323185
139,25,24.7107131738707,31.0438809677611,24.7992990688276
140,25,24.796746385775,21.816846212911,24.784890285759
141,25,24.6416875239245,38.446928272544,24.7005490365372
142,25,24.9704110061265,3.19136852357727,24.7379840761653
143,25,24.8204372241801,19.2760594216523,24.6003058165377
144,25,24.6178731121859,41.0010773298908,24.4894594478579
145,25,24.5903508823999,43.9528724325837,24.5464718017164
146,25,24.7227408710405,29.7540846988586,24.6341475747218
147,25,24.8967167514338,11.0951976167559,24.6149343541856
148,25,24.3581132628639,68.8604314848395,24.4730676285967
149,25,24.7173381040619,30.3336276678949,24.7392644039806
150,25,24.4575236297021,58.1987566414648,24.7340870065329
151,25,24.7634201816583,25.3914024911882,24.9223420480363
152,25,24.8035875625363,21.0834731541825,24.8756794557991
153,25,24.9679580684787,3.45475487427148,24.7838137679812
154,25,24.7903951124897,22.4983849192428,24.6394840721016
155,25,24.5354449598815,49.8418085102856,24.5533417060895
156,25,24.6753430626562,34.8377807023289,24.678141953354
157,25,24.4348668381652,60.6288863292104,24.6995873170119
158,25,24.9887873680036,1.22096268307095,24.9082160595201
159,25,24.9592671091716,4.38701149791248,24.7802405046019
160,25,24.525820837904,50.8741279243309,24.6332302406604
161,25,24.6505566572021,37.496255924867,24.7617383391963
162,25,24.8312320428942,18.1188536920092,24.8031720370508
163,25,24.8008312744046,21.3793519935759,24.6935435735904
164,25,24.5747439741525,45.6272336873942,24.600519256083
165,25,24.9865890293328,1.45689153590313,24.6925948746889
166,25,24.5047918078988,53.1296447966663,24.5575337234395
167,25,24.8030208590993,21.1446256545027,24.7038915540591
168,25,24.5426831917658,49.0658590117602,24.6230682945947
169,25,24.8171514624268,19.6291800168827,24.7407502737913
170,25,24.3959179360903,64.8064929225201,24.6469217216117
171,25,24.9786180497132,2.31196258057999,24.8816028541567
172,25,25.011736497675,0,24.7551447096101
173,25,24.5541009731614,47.8414199484004,24.6079788625489
174,25,24.5922131547583,43.7539304312316,24.7139212783522
175,25,24.8393067270142,17.2531831795301,24.8013994759532
176,25,25.0932592819753,0,24.6877120569683
177,25,24.5132020434372,52.2279168386966,24.5412677369955
178,25,24.4504109012702,58.9623126437943,24.6810128827311
179,25,24.7920753953039,22.3188473750176,24.884322476776
180,25,24.9310042434387,7.4187479782614,24.8149641925327
181,25,24.4768298220918,56.1289611602208,24.6713126592849
182,25,24.6966526670628,32.5530102673949,24.838754814713
183,25,24.5797445312987,45.0914363730816,24.8449111803023
184,25,25.0959813786947,0,24.9352726709655
185,25,24.8044137467398,20.9956935312159,24.8013121456629
186,25,24.8461361933138,16.5209795408152,24.7042251398506
187,25,24.4805244365659,55.7328549306143,24.575484564477
188,25,24.59223777733,43.7516480163146,24.7420629164623
189,25,24.8451036910934,16.6318171356146,24.8323923310169
190,25,24.6492468594392,37.6374769062718,24.714148672827
