tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1,error
19690,49,45.7363339618475,21.1745990129675,46.1480446370323,45.4222386635974,44.4693661879766,43.6791292422015,68.2208801588802,68.2208801588802,68.2208801588802,63.5582396822395,45.740017,-0.003682975408359823
19700,49,45.1513518796169,21.1745990129675,45.7363339618475,46.1480446370323,45.4222386635974,44.4693661879766,21.1745990129675,68.2208801588802,68.2208801588802,68.2208801588802,45.1178,0.03355021335713104
19710,49,44.6726361412296,21.1745990129675,45.1513518796169,45.7363339618475,46.1480446370323,45.4222386635974,21.1745990129675,21.1745990129675,68.2208801588802,68.2208801588802,44.565037,0.10759936754796229
19720,49,45.6064044636675,76.3533028908801,44.6726361412296,45.1513518796169,45.7363339618475,46.1480446370323,21.1745990129675,21.1745990129675,21.1745990129675,68.2208801588802,45.80272,-0.1963146525434354
19730,49,46.6818167845246,76.3533028908801,45.6064044636675,44.6726361412296,45.1513518796169,45.7363339618475,76.3533028908801,21.1745990129675,21.1745990129675,21.1745990129675,46.910282,-0.22846535048516614
19740,49,47.8352476312882,76.3533028908801,46.6818167845246,45.6064044636675,44.6726361412296,45.1513518796169,76.3533028908801,76.3533028908801,21.1745990129675,21.1745990129675,47.925354,-0.09010637261805243
19750,49,47.1863686342779,0.01,47.8352476312882,46.6818167845246,45.6064044636675,44.6726361412296,76.3533028908801,76.3533028908801,76.3533028908801,21.1745990129675,47.136173,0.050195385986882
19760,49,46.3263129584742,0.01,47.1863686342779,47.8352476312882,46.6818167845246,45.6064044636675,0.01,76.3533028908801,76.3533028908801,76.3533028908801,46.48605,-0.15973669362541187
19770,49,45.5113319493559,0.01,46.3263129584742,47.1863686342779,47.8352476312882,46.6818167845246,0.01,0.01,76.3533028908801,76.3533028908801,45.648205,-0.1368728541108979
19780,49,46.8330589860839,78.4970062379959,45.5113319493559,46.3263129584742,47.1863686342779,47.8352476312882,0.01,0.01,0.01,76.3533028908801,46.790775,0.042283687011632765
19790,49,47.7757580954457,78.4970062379959,46.8330589860839,45.5113319493559,46.3263129584742,47.1863686342779,78.4970062379959,0.01,0.01,0.01,48.128773,-0.3530146401500005
19800,49,48.8886453869193,78.4970062379959,47.7757580954457,46.8330589860839,45.5113319493559,46.3263129584742,78.4970062379959,78.4970062379959,0.01,0.01,49.090313,-0.20166757084437137
19810,49,48.0296048207099,0.01,48.8886453869193,47.7757580954457,46.8330589860839,45.5113319493559,78.4970062379959,78.4970062379959,78.4970062379959,0.01,48.214268,-0.1846629100029915
19820,49,47.5103128650105,0.01,48.0296048207099,48.8886453869193,47.7757580954457,46.8330589860839,0.01,78.4970062379959,78.4970062379959,78.4970062379959,47.39033,0.1199815966999509
19830,49,46.6843341851355,0.01,47.5103128650105,48.0296048207099,48.8886453869193,47.7757580954457,0.01,0.01,78.4970062379959,78.4970062379959,46.791702,-0.10736808537231468
19840,49,47.3951923868812,63.4395980231712,46.6843341851355,47.5103128650105,48.0296048207099,48.8886453869193,0.01,0.01,0.01,78.4970062379959,47.441704,-0.04651140950551991
19850,49,48.1132917217183,63.4395980231712,47.3951923868812,46.6843341851355,47.5103128650105,48.0296048207099,63.4395980231712,0.01,0.01,0.01,48.12092,-0.007626552207483428
19860,49,48.6816864038713,63.4395980231712,48.1132917217183,47.3951923868812,46.6843341851355,47.5103128650105,63.4395980231712,63.4395980231712,0.01,0.01,48.80839,-0.12670516717361835
19870,49,48.0441189957544,0.01,48.6816864038713,48.1132917217183,47.3951923868812,46.6843341851355,63.4395980231712,63.4395980231712,63.4395980231712,0.01,48.006824,0.037294502346199465
19880,49,47.1080682853221,0.01,48.0441189957544,48.6816864038713,48.1132917217183,47.3951923868812,0.01,63.4395980231712,63.4395980231712,63.4395980231712,47.361214,-0.25314539875993347
19890,49,46.6091051229285,0.01,47.1080682853221,48.0441189957544,48.6816864038713,48.1132917217183,0.01,0.01,63.4395980231712,63.4395980231712,46.462963,0.1461420186804503
19900,49,47.1452806585282,60.8070058294903,46.6091051229285,47.1080682853221,48.0441189957544,48.6816864038713,0.01,0.01,0.01,63.4395980231712,47.1432,0.0020807378739036153
19910,49,47.7621750882304,60.8070058294903,47.1452806585282,46.6091051229285,47.1080682853221,48.0441189957544,60.8070058294903,0.01,0.01,0.01,47.796925,-0.0347495028340532
19920,49,48.0473604302792,60.8070058294903,47.7621750882304,47.1452806585282,46.6091051229285,47.1080682853221,60.8070058294903,60.8070058294903,0.01,0.01,48.386044,-0.33868311830478603
19930,49,47.3743278247881,0.01,48.0473604302792,47.7621750882304,47.1452806585282,46.6091051229285,60.8070058294903,60.8070058294903,60.8070058294903,0.01,47.383583,-0.009255244059559686
19940,49,46.9966492397048,0.01,47.3743278247881,48.0473604302792,47.7621750882304,47.1452806585282,0.01,60.8070058294903,60.8070058294903,60.8070058294903,46.683117,0.3135323268630046
19950,49,46.1755553322979,0.01,46.9966492397048,47.3743278247881,48.0473604302792,47.7621750882304,0.01,0.01,60.8070058294903,60.8070058294903,46.238155,-0.06260003269233749
19960,49,46.5896785896145,62.6509694733061,46.1755553322979,46.9966492397048,47.3743278247881,48.0473604302792,0.01,0.01,0.01,60.8070058294903,46.918583,-0.32890432664526514
19970,49,47.3000800539764,62.6509694733061,46.5896785896145,46.1755553322979,46.9966492397048,47.3743278247881,62.6509694733061,0.01,0.01,0.01,47.357513,-0.05743337375797353
19980,49,48.0765957354919,62.6509694733061,47.3000800539764,46.5896785896145,46.1755553322979,46.9966492397048,62.6509694733061,62.6509694733061,0.01,0.01,47.992928,0.08366818422236832
19990,49,47.3302556734557,0.01,48.0765957354919,47.3000800539764,46.5896785896145,46.1755553322979,62.6509694733061,62.6509694733061,62.6509694733061,0.01,47.347645,-0.017389132452500178
20000,1,46.7770773014512,0.01,47.3302556734557,48.0765957354919,47.3000800539764,46.5896785896145,0.01,62.6509694733061,62.6509694733061,62.6509694733061,46.652588,0.12448941082620024
20010,1,46.0037015564864,0.01,46.7770773014512,47.3302556734557,48.0765957354919,47.3000800539764,0.01,0.01,62.6509694733061,62.6509694733061,46.048397,-0.04469550772258657
20020,1,45.363658886037,8.67465029960413,46.0037015564864,46.7770773014512,47.3302556734557,48.0765957354919,0.01,0.01,0.01,62.6509694733061,45.342426,0.021232585988173014
20030,1,44.4611533211747,8.67465029960413,45.363658886037,46.0037015564864,46.7770773014512,47.3302556734557,8.67465029960413,0.01,0.01,0.01,44.59241,-0.13125772008506686
20040,1,43.5005752771253,8.67465029960413,44.4611533211747,45.363658886037,46.0037015564864,46.7770773014512,8.67465029960413,8.67465029960413,0.01,0.01,43.715504,-0.2149284155016531
20050,1,42.7874044249319,0.01,43.5005752771253,44.4611533211747,45.363658886037,46.0037015564864,8.67465029960413,8.67465029960413,8.67465029960413,0.01,42.81602,-0.028616540644271993
20060,1,41.9015186430207,0.01,42.7874044249319,43.5005752771253,44.4611533211747,45.363658886037,0.01,8.67465029960413,8.67465029960413,8.67465029960413,41.999058,-0.09753912675468968
