tiempo,referencia,hc,f_pid,predicted_hc,hc_dot,predicted_hc_dot,error,F_in,F_out,F_out_hat,F_in_hat,residual
0,25,1e-06,0.0,1e-06,0.0,0.0,0.0,-78.23,0.020210000000000002,0.020210000000000002,0.020210000000000002,0.0
4,25,0.017276509806147,0.0,1e-06,0.0043188774515367494,0.0,0.017275509806146998,-78.23,2.6564051834975944,0.020210000000000002,0.020210000000000002,2.6361951834975943
8,25,12.8614645545802,100.0,12.8520205314668,3.2110470111935134,3.2130048828667004,0.009444023113399425,464.77,72.47888875167314,72.45227366450607,932.4866920927046,0.02661508716707317
12,25,17.4296658484746,100.0,17.4516162351665,1.1420503234735997,1.149898925924925,-0.02195038669190197,464.77,84.37442847676625,84.42754104389142,553.4949294254003,-0.05311256712516865
16,25,19.9005847154986,81.3315581899794,19.9150275216953,0.6177297167560001,0.6158528216321999,-0.014442806196701241,363.4003609715881,90.15695432741492,90.18966400078264,394.4176052440364,-0.03270967336771946
20,25,20.9710395337205,54.8594480788938,20.9305157358453,0.2676137045554752,0.2538720535375001,0.04052379787519911,219.6568030683933,92.54997227668353,92.46050866322969,227.44488055566094,0.08946361345384446
24,25,21.3819459645242,43.398014352595,21.4131414700813,0.10272660770092479,0.12065643355899969,-0.03119550555710049,157.4212179345908,93.45228555647378,93.5204325049881,159.89101104440084,-0.06814694851431113
28,25,21.7199656075757,39.0062078894199,21.7017345453862,0.08450491076287481,0.07214826882622472,0.01823106218949988,133.57370883955002,94.18806614756038,94.14852858557683,134.63870714142453,0.03953756198355052
32,25,21.9012425206143,35.3945655730824,21.843257766153,0.0453192282596504,0.03538080519169995,0.05798475446130169,113.96249106183744,94.5803007513406,94.45501447442784,114.50544845445549,0.12528627691276029
36,25,21.9196350753804,33.462716730196,21.9075229735132,0.004598138691524589,0.0160663018400502,0.012112101867199243,103.47255184496426,94.62000645049746,94.59386081636548,103.73892331709578,0.026145634131978568
40,25,22.0112422044668,33.2771203034824,21.9627253712019,0.022901782271600446,0.01380059942217482,0.04851683326490175,102.4647632479094,94.81751954193624,94.71296425404351,102.59811188893224,0.1045552878927225
44,25,22.0115357564388,32.3062283376073,21.9807133770553,7.338799299994037e-05,0.004497001463350081,0.030822379383501186,97.19281987320763,94.81815180468593,94.75174242539983,97.32432290274993,0.06640937928609958
