tiempo,referencia,hc,f_pid,predicted_hc,hc_dot,predicted_hc_dot,error,F_in,F_out,F_out_hat,F_in_hat,residual
0,25,1e-06,0.0,1e-06,0.0,0.0,0.0,-78.23,0.020210000000000002,0.020210000000000002,0.020210000000000002,0.0
4,25,0.0122166301323812,0.0,1e-06,0.0030539075330953003,0.0,0.012215630132381201,-78.23,2.2337883739184696,0.020210000000000002,0.020210000000000002,2.2135783739184696
8,25,12.858698464252,100.0,12.8520205314668,3.211620458529905,3.2130048828667004,0.006677932785200014,464.77,72.47109438529813,72.45227366450607,932.4866920927046,0.018820720792064094
12,25,17.436094967887,100.0,17.4516162351665,1.1443491259087502,1.149898925924925,-0.01552126727949954,464.77,84.38998824904016,84.42754104389142,553.4949294254003,-0.0375527948512655
16,25,19.9018503808884,81.2626353412327,19.9120629870895,0.61643885325035,0.6151116879807494,-0.01021260620109743,363.0261099028935,90.15982124625482,90.18295097137309,393.9782340391167,-0.02312972511826672
20,25,20.9558861030599,54.8458790753334,20.9272314507829,0.2635089305428746,0.2537921159233507,0.02865465227699815,219.58312337906034,92.51652846419827,92.4532542175056,227.36364050990005,0.06327424669267145
24,25,21.3942414629392,43.5605353902107,21.4163000164612,0.10958883996982483,0.12226714141957462,-0.022058553522001034,158.30370716884408,93.47915114886787,93.5273296184248,160.79874765636197,-0.04817846955693028
28,25,21.7127508608874,38.8743962002129,21.699859553185,0.0796273494870503,0.07088988418094999,0.012891307702400212,132.85797136715604,94.17242156756605,94.14446136298753,133.92327487072086,0.027960204578519665
32,25,21.8852763162159,35.471954982352,21.8442749031309,0.043131363832125125,0.03610383748647461,0.04100141308500227,114.38271555417136,94.54581951746,94.45721360998262,114.91882203947966,0.08860590747738684
36,25,21.9235268947382,33.6339926797133,21.9149623453735,0.009562644630574546,0.017671860560650288,0.008564549364699303,104.4025802508432,94.62840594317935,94.60992057754815,104.6740077508216,0.018485365631192963
40,25,22.0028608813181,33.2354790450081,21.9685542995149,0.019833496644975135,0.013397988535349903,0.03430658180320023,102.23865121439395,94.7994657690389,94.72553187587016,102.38369440181165,0.07393389316874277
44,25,22.0115709258308,32.3962018837063,21.9897762123564,0.0021775111281749915,0.005305478210375192,0.02179471347439943,97.68137622852517,94.81822755349906,94.77127388748828,97.80823631505774,0.046953666010779216
48,25,21.9809714373544,32.3140678879507,22.0072075052301,-0.007649872119100287,0.004357823218424706,-0.02623606787570054,97.23538863157229,94.75229863098798,94.80882903499523,97.3063061949891,-0.056530404007247625
52,25,22.1306766628563,32.6534958488955,22.0369129663102,0.03742630637547517,0.007426365270025492,0.09376369654609817,99.07848245950255,95.07441460220171,94.87279422101417,99.13749508308061,0.20162038118753856
56,25,22.007037871061,31.0592709288972,22.0071534991072,-0.030909697948824366,-0.007439866800750039,-0.00011562804619913436,90.42184114391178,94.8084636354341,94.80871270355216,90.54492595422502,-0.00024906811806602036
60,25,22.0388746339111,32.3960971039422,22.0267262793718,0.007959190712524489,0.004893195066149936,0.012148354539299078,97.68080727440615,94.87701678942403,94.85086394506042,97.65890213707956,0.026152844363608097
64,25,22.0518510170551,32.0659133318286,22.0343626889475,0.0032440957860000452,0.001909102393924833,0.017488328107599926,95.88790939182927,94.90494424420234,94.8673043654174,95.96344416489211,0.0376398787849439
68,25,22.0002773234265,31.9378872984876,22.0369807507271,-0.012893423407150273,0.0006545154449000279,-0.03670342730060128,95.19272803078765,94.79389996786368,94.87294013283268,95.24880711285782,-0.07904016496900113
72,25,22.056085790694,32.5021119954259,22.0604053209265,0.013952116816875026,0.0058561425498497854,-0.004319530232500313,98.25646813516262,94.9140564421456,94.92335011440039,98.2917175452831,-0.009293672254798935
76,25,22.058297412844,31.914857140136,22.0619822788663,0.0005529055374999814,0.00039423948495009853,-0.003684866022300781,95.06767427093847,94.91881496479714,94.92674278678003,95.15352793365065,-0.007927821982889327
80,25,22.0994320760167,31.9022183856612,22.0627946522653,0.010283665793175523,0.0002030933497501053,0.03663742375140089,94.99904583414032,95.00727679919981,94.92849048220094,95.04532582358438,0.07878631699887251
84,25,22.004700484879,31.472121691672,22.0476591941461,-0.02368289778442545,-0.003783864529800063,-0.04295870926710066,92.66362078577895,94.8034286580183,94.89592360401858,92.72139016767157,-0.0924949460002722
88,25,22.0682797700534,32.4990357442903,22.0705780378045,0.015894821293600536,0.005729710914599728,-0.002298267751097427,98.23976409149633,94.94029002076869,94.94523359880067,98.24316439124132,-0.004943578031983975
92,25,22.0796758623601,31.8284222181697,22.0688033871631,0.002849023076675117,-0.0004436626603494531,0.010872475197000853,94.59833264466145,94.96480050994366,94.94141634474802,94.68608201916744,0.023384165195636797
96,25,22.0472882690686,31.7172341231256,22.0626273908751,-0.008096898322875745,-0.0015439990720000907,-0.015339121806501765,93.99458128857201,94.89512534635423,94.92813064788187,94.03991051196999,-0.0330053015276377
100,25,22.0305394611824,32.0755831612313,22.0697545472181,-0.004187201971549648,0.0017817890857498853,-0.0392150860356999,95.94041656548596,94.85907369744409,94.94346229867227,95.96897432694081,-0.08438860122818426
104,25,22.043278727299,32.2663281327653,22.0839920063664,0.0031848165291501473,0.003559364787075303,-0.04071327906740052,96.97616176091559,94.88649609307315,94.97408193527073,97.02466833635225,-0.08758584219758347
108,25,22.069686718161,32.140876553133,22.0934596358615,0.006601997715500296,0.0023669073737746515,-0.023772917700497942,96.29495968351218,94.94331639921383,94.99443792589005,96.35891657948892,-0.05112152667622638
