tiempo,referencia,hc,f_pid,predicted_hc,hc_dot,predicted_hc_dot,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,hc_prev_5,hc_prev_6,hc_prev_7,hc_prev_8,hc_prev_9,hc_prev_10,freq_prev,freq_prev_2,freq_prev_3,freq_prev_4,freq_prev_5,freq_prev_6,freq_prev_7,freq_prev_8,freq_prev_9,freq_prev_10,error,F_in,F_out,residual
0,25,1e-06,0.0,1e-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,-78.23,0.020210000000000002,4.576035672514452
17,25,0.0,0.0,1e-06,-0.00104011991250803,0.0,1e-06,,,,,,,,,,0.0,,,,,,,,,,-0.0312035973752409,-78.23,0.0,4.576988146830591
34,25,23.9020950912847,100.0,23.8571704537143,0.797776589621998,0.7952389817904766,-0.0312025973752409,1e-06,,,,,,,,,0.0,0.0,,,,,,,,,0.044924637570399995,464.77,98.80622307159705,-0.1500213279690621
51,25,22.4481728454821,23.5500602919436,22.584793080908,-0.04846407486008661,-0.04241257909354334,23.9020950912847,-0.0312025973752409,1e-06,,,,,,,,100.0,0.0,0.0,,,,,,,,-0.13662023542589807,49.64682738525373,95.7539751368964,0.08957408568253561
68,25,25.6472846047873,54.7366924644093,25.6592575521987,0.10663705864350656,0.10248214904302332,22.4481728454821,23.9020950912847,-0.0312025973752409,1e-06,,,,,,,23.5500602919436,100.0,0.0,0.0,,,,,,,-0.01197294741140098,218.99024008174246,102.34980252959068,-0.16291527233880557
85,25,22.9233284445479,0.0,23.1440095357456,-0.09079853867464666,-0.08384160054843666,25.6472846047873,22.4481728454821,23.9020950912847,-0.0312025973752409,1e-06,,,,,,54.7366924644093,23.5500602919436,100.0,0.0,0.0,,,,,,-0.22068109119770085,-78.23,96.76207033511513,0.41333189146463206
102,25,24.7813799360445,44.544604864447,24.8164910339002,0.061935049716553434,0.05574938327181999,22.9233284445479,25.6472846047873,22.4481728454821,23.9020950912847,-0.0312025973752409,1e-06,,,,,0.0,54.7366924644093,23.5500602919436,100.0,0.0,0.0,,,,,-0.03511109785569744,163.64720441394718,100.60719867253911,-0.09383480966994419
119,25,22.4059582990148,4.6894003718465,22.1989026213077,-0.07918072123432343,-0.08725294708641668,24.7813799360445,22.9233284445479,25.6472846047873,22.4481728454821,23.9020950912847,-0.0312025973752409,1e-06,,,,44.544604864447,0.0,54.7366924644093,23.5500602919436,100.0,0.0,0.0,,,,0.20705567770709976,-52.766555980873505,95.66389847836346,0.3672611283589391
136,25,25.3965518816549,55.6421944861329,25.470141888157,0.09968645275467007,0.10904130889497665,22.4059582990148,24.7813799360445,22.9233284445479,25.6472846047873,22.4481728454821,23.9020950912847,-0.0312025973752409,1e-06,,,4.6894003718465,44.544604864447,0.0,54.7366924644093,23.5500602919436,100.0,0.0,0.0,,,-0.0735900065020978,223.9071160597016,101.84827822013412,-0.18779702489318723
153,25,22.7655945328774,0.0,22.9338969187012,-0.08769857829258333,-0.0845414989818599,25.3965518816549,22.4059582990148,24.7813799360445,22.9233284445479,25.6472846047873,22.4481728454821,23.9020950912847,-0.0312025973752409,1e-06,,55.6421944861329,4.6894003718465,44.544604864447,0.0,54.7366924644093,23.5500602919436,100.0,0.0,0.0,,-0.1683023858238002,-78.23,96.42858896585614,0.4220871275530451
170,25,25.0182639754022,47.9279972697803,25.0777775853808,0.07508898141749328,0.07146268888931999,22.7655945328774,25.3965518816549,22.4059582990148,24.7813799360445,22.9233284445479,25.6472846047873,22.4481728454821,23.9020950912847,-0.0312025973752409,1e-06,0.0,55.6421944861329,4.6894003718465,44.544604864447,0.0,54.7366924644093,23.5500602919436,100.0,0.0,0.0,-0.05951360997860178,182.01902517490697,101.08690475524303,-0.12121406059101848
187,25,22.5290463493731,0.0,22.4927890430993,-0.08297392086763662,-0.08616628474271669,25.0182639754022,22.7655945328774,25.3965518816549,22.4059582990148,24.7813799360445,22.9233284445479,25.6472846047873,22.4481728454821,23.9020950912847,-0.0312025973752409,47.9279972697803,0.0,55.6421944861329,4.6894003718465,44.544604864447,0.0,54.7366924644093,23.5500602919436,100.0,0.0,0.03625730627380008,-78.23,95.9263053600418,0.43547865792422585
204,25,25.402408842985,53.0019558059462,25.3669828541405,0.09577874978706333,0.09580646036803996,22.5290463493731,25.0182639754022,22.7655945328774,25.3965518816549,22.4059582990148,24.7813799360445,22.9233284445479,25.6472846047873,22.4481728454821,23.9020950912847,0.0,47.9279972697803,0.0,55.6421944861329,4.6894003718465,44.544604864447,0.0,54.7366924644093,23.5500602919436,100.0,0.03542598884450143,209.57062002628783,101.86002168517858,-0.15782516726895032
221,25,22.8147047848586,0.0,22.8178182701427,-0.08625680193754673,-0.08497215279992669,25.402408842985,22.5290463493731,25.0182639754022,22.7655945328774,25.3965518816549,22.4059582990148,24.7813799360445,22.9233284445479,25.6472846047873,22.4481728454821,53.0019558059462,0.0,47.9279972697803,0.0,55.6421944861329,4.6894003718465,44.544604864447,0.0,54.7366924644093,23.5500602919436,-0.003113485284099937,-78.23,96.53254146979279,0.4217170673100846
238,25,24.8669536129751,46.8745823647839,24.8454109258261,0.06840829427055001,0.06758642185611344,22.8147047848586,25.402408842985,22.5290463493731,25.0182639754022,22.7655945328774,25.3965518816549,22.4059582990148,24.7813799360445,22.9233284445479,25.6472846047873,0.0,53.0019558059462,0.0,47.9279972697803,0.0,55.6421944861329,4.6894003718465,44.544604864447,0.0,54.7366924644093,0.02154268714899743,176.29898224077652,100.78075455260971,-0.11693523084689361
255,25,22.1693806414464,2.85384500168428,22.2323294472148,-0.08991909905095667,-0.0871027159537101,24.8669536129751,22.8147047848586,25.402408842985,22.5290463493731,25.0182639754022,22.7655945328774,25.3965518816549,22.4059582990148,24.7813799360445,22.9233284445479,46.8745823647839,0.0,53.0019558059462,0.0,47.9279972697803,0.0,55.6421944861329,4.6894003718465,44.544604864447,0.0,-0.0629488057684,-62.733621640854366,95.15751532933696,0.39484340704163057
272,25,25.9701755641763,60.7167852409751,26.1190865719121,0.12669316409099676,0.12955857082324335,22.1693806414464,24.8669536129751,22.8147047848586,25.402408842985,22.5290463493731,25.0182639754022,22.7655945328774,25.3965518816549,22.4059582990148,24.7813799360445,2.85384500168428,46.8745823647839,0.0,53.0019558059462,0.0,47.9279972697803,0.0,55.6421944861329,4.6894003718465,44.544604864447,-0.1489110077357978,251.46214385849476,102.9920627288918,-0.2081152991907322
289,25,23.8055641034195,0.0,23.6569234331769,-0.07215371535856008,-0.08207210462450666,25.9701755641763,22.1693806414464,24.8669536129751,22.8147047848586,25.402408842985,22.5290463493731,25.0182639754022,22.7655945328774,25.3965518816549,22.4059582990148,60.7167852409751,2.85384500168428,46.8745823647839,0.0,53.0019558059462,0.0,47.9279972697803,0.0,55.6421944861329,4.6894003718465,0.14864067024259953,-78.23,98.60650184046428,0.4015558484030124
306,25,22.6766806842282,25.6206499816525,22.6543875563487,-0.03762944730637668,-0.03341786256094004,23.8055641034195,25.9701755641763,22.1693806414464,24.8669536129751,22.8147047848586,25.402408842985,22.5290463493731,25.0182639754022,22.7655945328774,25.3965518816549,0.0,60.7167852409751,2.85384500168428,46.8745823647839,0.0,53.0019558059462,0.0,47.9279972697803,0.0,55.6421944861329,0.02229312787950022,60.890129400373084,96.24009784417808,0.06614659384680349
323,25,25.0036911330086,49.8351993233055,25.0977100798911,0.07756701495934676,0.08144408411808009,22.6766806842282,23.8055641034195,25.9701755641763,22.1693806414464,24.8669536129751,22.8147047848586,25.402408842985,22.5290463493731,25.0182639754022,22.7655945328774,25.6206499816525,0.0,60.7167852409751,2.85384500168428,46.8745823647839,0.0,53.0019558059462,0.0,47.9279972697803,0.0,-0.09401894688249968,192.37513232554886,101.05745950448032,-0.14415825484812766
340,25,22.3732023928241,0.0,22.5158940860782,-0.08768295800615,-0.08606053312709665,25.0036911330086,22.6766806842282,23.8055641034195,25.9701755641763,22.1693806414464,24.8669536129751,22.8147047848586,25.402408842985,22.5290463493731,25.0182639754022,49.8351993233055,25.6206499816525,0.0,60.7167852409751,2.85384500168428,46.8745823647839,0.0,53.0019558059462,0.0,47.9279972697803,-0.14269169325410047,-78.23,95.59394601885042,0.43674666676705587
357,25,25.6890107081284,56.344808673923,25.8010742277475,0.11052694384347662,0.10950600472230991,22.3732023928241,25.0036911330086,22.6766806842282,23.8055641034195,25.9701755641763,22.1693806414464,24.8669536129751,22.8147047848586,25.402408842985,22.5290463493731,0.0,49.8351993233055,25.6206499816525,0.0,60.7167852409751,2.85384500168428,46.8745823647839,0.0,53.0019558059462,0.0,-0.11206351961909888,227.72231109940185,102.43302621016265,-0.17808294729416524
374,25,23.2184910417033,0.0,23.3023131292888,-0.08235065554750337,-0.0832920366152899,25.6890107081284,22.3732023928241,25.0036911330086,22.6766806842282,23.8055641034195,25.9701755641763,22.1693806414464,24.8669536129751,22.8147047848586,25.402408842985,56.344808673923,0.0,49.8351993233055,25.6206499816525,0.0,60.7167852409751,2.85384500168428,46.8745823647839,0.0,53.0019558059462,-0.08382208758550291,-78.23,97.38303587836317,0.41123118219353544
391,25,24.2685010773951,38.213367155464,24.1115943260566,0.03500033452306006,0.02697603989225996,23.2184910417033,25.6890107081284,22.3732023928241,25.0036911330086,22.6766806842282,23.8055641034195,25.9701755641763,22.1693806414464,24.8669536129751,22.8147047848586,0.0,56.344808673923,0.0,49.8351993233055,25.6206499816525,0.0,60.7167852409751,2.85384500168428,46.8745823647839,0.0,0.15690675133850007,129.2685836541695,99.56066532976601,-0.041459284882066946
408,25,21.5878098208009,15.6906518898753,21.6111686457657,-0.08935637521980672,-0.0833475226763633,24.2685010773951,23.2184910417033,25.6890107081284,22.3732023928241,25.0036911330086,22.6766806842282,23.8055641034195,25.9701755641763,22.1693806414464,24.8669536129751,38.213367155464,0.0,56.344808673923,0.0,49.8351993233055,25.6206499816525,0.0,60.7167852409751,2.85384500168428,46.8745823647839,-0.02335882496480224,6.970239762022871,93.90108387674864,0.19135323702604723
425,25,26.9681236284472,73.1914793438197,27.142366304021,0.17934379358820998,0.1843732552751766,21.5878098208009,24.2685010773951,23.2184910417033,25.6890107081284,22.3732023928241,25.0036911330086,22.6766806842282,23.8055641034195,25.9701755641763,22.1693806414464,15.6906518898753,38.213367155464,0.0,56.344808673923,0.0,49.8351993233055,25.6206499816525,0.0,60.7167852409751,2.85384500168428,-0.1742426755738009,319.1997328369409,104.95223191580945,-0.2695011887187111
442,25,24.6982213982109,0.0,24.791239818438,-0.07566340767454326,-0.07837088285276662,26.9681236284472,21.5878098208009,24.2685010773951,23.2184910417033,25.6890107081284,22.3732023928241,25.0036911330086,22.6766806842282,23.8055641034195,25.9701755641763,73.1914793438197,15.6906518898753,38.213367155464,0.0,56.344808673923,0.0,49.8351993233055,25.6206499816525,0.0,60.7167852409751,-0.09301842022710005,-78.23,100.43825372134361,0.3704063867850539
459,25,22.2457664250991,6.47315100837564,22.1572464879357,-0.08174849910372674,-0.08779977768340999,24.6982213982109,26.9681236284472,21.5878098208009,24.2685010773951,23.2184910417033,25.6890107081284,22.3732023928241,25.0036911330086,22.6766806842282,23.8055641034195,0.0,73.1914793438197,15.6906518898753,38.213367155464,0.0,56.344808673923,0.0,49.8351993233055,25.6206499816525,0.0,0.08851993716339734,-43.080790024520276,95.32130950794695,0.34028791210807585
476,25,26.1969002114709,59.0783101816249,25.8640833880141,0.13170445954572674,0.12356123000261335,22.2457664250991,24.6982213982109,26.9681236284472,21.5878098208009,24.2685010773951,23.2184910417033,25.6890107081284,22.3732023928241,25.0036911330086,22.6766806842282,6.47315100837564,0.0,73.1914793438197,15.6906518898753,38.213367155464,0.0,56.344808673923,0.0,49.8351993233055,25.6206499816525,0.33281682345679897,242.56522428622316,103.44065607711526,-0.1768056248023689
493,25,23.1876863957105,0.0,23.373416774007,-0.10030712719201335,-0.08302222046690334,26.1969002114709,22.2457664250991,24.6982213982109,26.9681236284472,21.5878098208009,24.2685010773951,23.2184910417033,25.6890107081284,22.3732023928241,25.0036911330086,59.0783101816249,6.47315100837564,0.0,73.1914793438197,15.6906518898753,38.213367155464,0.0,56.344808673923,0.0,49.8351993233055,-0.1857303782965012,-78.23,97.31841398717008,0.3946306538883404
510,25,24.3246517252106,38.8741268120089,24.2648660759403,0.037898844316670004,0.02971497673110998,23.1876863957105,26.1969002114709,22.2457664250991,24.6982213982109,26.9681236284472,21.5878098208009,24.2685010773951,23.2184910417033,25.6890107081284,22.3732023928241,0.0,59.0783101816249,6.47315100837564,0.0,73.1914793438197,15.6906518898753,38.213367155464,0.0,56.344808673923,0.0,0.0597856492702995,132.85650858920832,99.67577680518517,-0.047115449726635915
527,25,21.6083395642481,14.4862204942319,21.5899484769534,-0.09054373869874996,-0.08916391996623005,24.3246517252106,23.1876863957105,26.1969002114709,22.2457664250991,24.6982213982109,26.9681236284472,21.5878098208009,24.2685010773951,23.2184910417033,25.6890107081284,38.8741268120089,0.0,59.0783101816249,6.47315100837564,0.0,73.1914793438197,15.6906518898753,38.213367155464,0.0,56.344808673923,0.018391087294702402,0.4301772836791997,93.945722658425,0.21089797996518164
544,25,27.1919734297954,72.7511163468781,27.0775830263061,0.1861211288515766,0.18292115164509007,21.6083395642481,24.3246517252106,23.1876863957105,26.1969002114709,22.2457664250991,24.6982213982109,26.9681236284472,21.5878098208009,24.2685010773951,23.2184910417033,14.4862204942319,38.8741268120089,0.0,59.0783101816249,6.47315100837564,0.0,73.1914793438197,15.6906518898753,38.213367155464,0.0,0.11439040348929908,316.8085617635481,105.38691149643155,-0.249758516929794
561,25,24.5069151650146,0.0,24.7198204663244,-0.08950194215935998,-0.07859208533272337,27.1919734297954,21.6083395642481,24.3246517252106,23.1876863957105,26.1969002114709,22.2457664250991,24.6982213982109,26.9681236284472,21.5878098208009,24.2685010773951,72.7511163468781,14.4862204942319,38.8741268120089,0.0,59.0783101816249,6.47315100837564,0.0,73.1914793438197,15.6906518898753,38.213367155464,-0.21290530130979946,-78.23,100.04851277430734,0.36246460830435273
578,25,22.1689191940514,10.5766697104378,22.0771151664984,-0.07793319903210663,-0.08809017666086673,24.5069151650146,27.1919734297954,21.6083395642481,24.3246517252106,23.1876863957105,26.1969002114709,22.2457664250991,24.6982213982109,26.9681236284472,21.5878098208009,0.0,72.7511163468781,14.4862204942319,38.8741268120089,0.0,59.0783101816249,6.47315100837564,0.0,73.1914793438197,15.6906518898753,0.09180402755300321,-20.79868347232275,95.15652499007649,0.27794104400296415
595,25,25.8992841146348,60.7266832875969,26.0054744960712,0.12434549735277993,0.1309453109857601,22.1689191940514,24.5069151650146,27.1919734297954,21.6083395642481,24.3246517252106,23.1876863957105,26.1969002114709,22.2457664250991,24.6982213982109,26.9681236284472,10.5766697104378,0.0,72.7511163468781,14.4862204942319,38.8741268120089,0.0,59.0783101816249,6.47315100837564,0.0,73.1914793438197,-0.10619038143640225,251.51589025165111,102.85139664023191,-0.21268235304081667
612,25,23.337496349049,0.0,23.5309849572817,-0.08539292551952661,-0.08248298462631673,25.8992841146348,22.1689191940514,24.5069151650146,27.1919734297954,21.6083395642481,24.3246517252106,23.1876863957105,26.1969002114709,22.2457664250991,24.6982213982109,60.7266832875969,10.5766697104378,0.0,72.7511163468781,14.4862204942319,38.8741268120089,0.0,59.0783101816249,6.47315100837564,0.0,-0.1934886082326983,-78.23,97.6322830448034,0.4041347283823036
629,25,24.25564502756,35.6607033128995,23.9704530617969,0.03060495595036663,0.014648936817173327,23.337496349049,25.8992841146348,22.1689191940514,24.5069151650146,27.1919734297954,21.6083395642481,24.3246517252106,23.1876863957105,26.1969002114709,22.2457664250991,0.0,60.7266832875969,10.5766697104378,0.0,72.7511163468781,14.4862204942319,38.8741268120089,0.0,59.0783101816249,6.47315100837564,0.2851919657631008,115.40761898904428,99.53429109207148,-0.010295059982330927
646,25,21.5128719380593,15.9664141588372,21.4974487968838,-0.09142576965002339,-0.08243347549710336,24.25564502756,23.337496349049,25.8992841146348,22.1689191940514,24.5069151650146,27.1919734297954,21.6083395642481,24.3246517252106,23.1876863957105,26.1969002114709,35.6607033128995,0.0,60.7266832875969,10.5766697104378,0.0,72.7511163468781,14.4862204942319,38.8741268120089,0.0,59.0783101816249,0.015423141175499921,8.467628882485982,93.73796251869297,0.18576430454988638
663,25,27.223880865577,74.7988969286277,27.2490514852643,0.1903669642505901,0.19172008961268336,21.5128719380593,24.25564502756,23.337496349049,25.8992841146348,22.1689191940514,24.5069151650146,27.1919734297954,21.6083395642481,24.3246517252106,23.1876863957105,15.9664141588372,35.6607033128995,0.0,60.7266832875969,10.5766697104378,0.0,72.7511163468781,14.4862204942319,38.8741268120089,0.0,-0.025170619687298057,327.92801032244836,105.44872459469494,-0.2672321534459535
680,25,25.0542257959107,0.0,24.9091130525941,-0.07232183565554338,-0.07799794775567329,27.223880865577,21.5128719380593,24.25564502756,23.337496349049,25.8992841146348,22.1689191940514,24.5069151650146,27.1919734297954,21.6083395642481,24.3246517252106,74.7988969286277,15.9664141588372,35.6607033128995,0.0,60.7266832875969,10.5766697104378,0.0,72.7511163468781,14.4862204942319,38.8741268120089,0.14511274331659862,-78.23,101.15953097166637,0.3633693609067003
697,25,22.443481094254,0.0,22.2893864358386,-0.08702482338855665,-0.08732422055851667,25.0542257959107,27.223880865577,21.5128719380593,24.25564502756,23.337496349049,25.8992841146348,22.1689191940514,24.5069151650146,27.1919734297954,21.6083395642481,0.0,74.7988969286277,15.9664141588372,35.6607033128995,0.0,60.7266832875969,10.5766697104378,0.0,72.7511163468781,14.4862204942319,0.15409465841539927,-78.23,95.7439681463516,0.4347221103480755
714,25,25.3697293509254,54.8373305282518,25.4389667100298,0.09754160855571332,0.1049860091397066,22.443481094254,25.0542257959107,27.223880865577,21.5128719380593,24.25564502756,23.337496349049,25.8992841146348,22.1689191940514,24.5069151650146,27.1919734297954,0.0,0.0,74.7988969286277,15.9664141588372,35.6607033128995,0.0,60.7266832875969,10.5766697104378,0.0,72.7511163468781,-0.06923735910439888,219.53670476840722,101.79448055755434,-0.1803524986951876
731,25,23.1396628667934,0.0,22.8988263890628,-0.07433554947106664,-0.08467134403223327,25.3697293509254,22.443481094254,25.0542257959107,27.223880865577,21.5128719380593,24.25564502756,23.337496349049,25.8992841146348,22.1689191940514,24.5069151650146,54.8373305282518,0.0,0.0,74.7988969286277,15.9664141588372,35.6607033128995,0.0,60.7266832875969,10.5766697104378,0.0,0.2408364777305998,-78.23,97.21758469500696,0.42186459420334116
