tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1,error
0,40,1e-06,0.0,,,,,,,,,,
10,40,1e-06,0.01,1e-06,,,,0.0,,,,,
20,40,1e-06,0.01,1e-06,1e-06,,,0.01,0.0,,,0.0,1e-06
30,40,1e-06,0.01,1e-06,1e-06,1e-06,,0.01,0.01,0.0,,0.0,1e-06
40,40,19.1805176976384,99.99,1e-06,1e-06,1e-06,1e-06,0.01,0.01,0.01,0.0,19.180485,3.29259098847956e-05
50,40,25.4605229406253,99.99,19.1805176976384,1e-06,1e-06,1e-06,99.99,0.01,0.01,0.01,25.63498,-0.17445630742157547
60,40,29.8562586905462,99.99,25.4605229406253,19.1805176976384,1e-06,1e-06,99.99,99.99,0.01,0.01,29.97514,-0.11888092737372347
70,40,30.7429475860253,50.0,29.8562586905462,25.4605229406253,19.1805176976384,1e-06,99.99,99.99,99.99,0.01,30.76374,-0.020792953525482716
80,40,31.5616654769825,50.0,30.7429475860253,29.8562586905462,25.4605229406253,19.1805176976384,50.0,99.99,99.99,99.99,31.473343,0.08832258147468863
90,40,32.3339016487202,50.0,31.5616654769825,30.7429475860253,29.8562586905462,25.4605229406253,50.0,50.0,99.99,99.99,32.257107,0.07679486771434085
100,40,34.2672163722706,75.0,32.3339016487202,31.5616654769825,30.7429475860253,29.8562586905462,50.0,50.0,50.0,99.99,34.35046,-0.08324368021963124
110,40,36.0173477178344,75.0,34.2672163722706,32.3339016487202,31.5616654769825,30.7429475860253,75.0,50.0,50.0,50.0,35.95976,0.05758895928947538
120,40,37.6168688766128,75.0,36.0173477178344,34.2672163722706,32.3339016487202,31.5616654769825,75.0,75.0,50.0,50.0,37.604713,0.012155436671392295
130,40,36.6891940500198,13.7813597683725,37.6168688766128,36.0173477178344,34.2672163722706,32.3339016487202,75.0,75.0,75.0,50.0,36.723465,-0.034270915800512114
140,40,35.7207385550087,13.7813597683725,36.6891940500198,37.6168688766128,36.0173477178344,34.2672163722706,13.7813597683725,75.0,75.0,75.0,35.817104,-0.09636578459090828
150,40,34.721368874064,13.7813597683725,35.7207385550087,36.6891940500198,37.6168688766128,36.0173477178344,13.7813597683725,13.7813597683725,75.0,75.0,34.828403,-0.10703459883639255
160,40,37.1717732528135,93.1093201158138,34.721368874064,35.7207385550087,36.6891940500198,37.6168688766128,13.7813597683725,13.7813597683725,13.7813597683725,75.0,37.364388,-0.1926142593935296
170,40,39.3691525188669,93.1093201158138,37.1717732528135,34.721368874064,35.7207385550087,36.6891940500198,93.1093201158138,13.7813597683725,13.7813597683725,13.7813597683725,39.59868,-0.2295260700002899
180,40,41.3578416480688,93.1093201158138,39.3691525188669,37.1717732528135,34.721368874064,35.7207385550087,93.1093201158138,93.1093201158138,13.7813597683725,13.7813597683725,41.59931,-0.2414701805444821
