tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1,error
0,25,1e-06,0.0,,,,,,,,,,
10,25,-0.240445473214253,0.01,1e-06,,,,0.0,,,,,
20,25,0.166729019835863,0.01,-0.240445473214253,1e-06,,,0.01,0.0,,,0.3224162,-0.15568716649683964
30,25,0.0216009737892651,0.01,0.166729019835863,-0.240445473214253,1e-06,,0.01,0.01,0.0,,0.37715217,-0.3555512009219623
40,25,19.2297697669232,99.99,0.0216009737892651,0.166729019835863,-0.240445473214253,1e-06,0.01,0.01,0.01,0.0,13.979243,5.2505264884197835
50,25,25.6664283341515,99.99,19.2297697669232,0.0216009737892651,0.166729019835863,-0.240445473214253,99.99,0.01,0.01,0.01,26.102993,-0.43656467732310844
60,25,29.8086622900861,99.99,25.6664283341515,19.2297697669232,0.0216009737892651,0.166729019835863,99.99,99.99,0.01,0.01,31.886919,-2.0782567315203444
70,25,28.7398296639439,0.01,29.8086622900861,25.6664283341515,19.2297697669232,0.0216009737892651,99.99,99.99,99.99,0.01,31.02519,-2.2853606894496536
80,25,27.0985769848409,0.01,28.7398296639439,29.8086622900861,25.6664283341515,19.2297697669232,0.01,99.99,99.99,99.99,27.499315,-0.4007382769999204
90,25,26.0025922334009,0.01,27.0985769848409,28.7398296639439,29.8086622900861,25.6664283341515,0.01,0.01,99.99,99.99,26.21275,-0.21015724780027156
100,25,25.3508563666554,25.0,26.0025922334009,27.0985769848409,28.7398296639439,29.8086622900861,0.01,0.01,0.01,99.99,25.608973,-0.2581161827830769
110,25,24.9414619271822,25.0,25.3508563666554,26.0025922334009,27.0985769848409,28.7398296639439,25.0,0.01,0.01,0.01,24.58275,0.3587116067476295
120,25,24.2116329641908,25.0,24.9414619271822,25.3508563666554,26.0025922334009,27.0985769848409,25.0,25.0,0.01,0.01,24.10032,0.11131214815076262
130,25,22.5113895136753,4.46458176421503,24.2116329641908,24.9414619271822,25.3508563666554,26.0025922334009,25.0,25.0,25.0,0.01,22.95315,-0.44176028185692573
140,25,20.924503768573,4.46458176421503,22.5113895136753,24.2116329641908,24.9414619271822,25.3508563666554,4.46458176421503,25.0,25.0,25.0,21.831984,-0.9074797977111793
150,25,18.8094553808082,4.46458176421503,20.924503768573,22.5113895136753,24.2116329641908,24.9414619271822,4.46458176421503,4.46458176421503,25.0,25.0,20.308846,-1.4993901392113322
160,25,25.1606919358471,97.7677091178925,18.8094553808082,20.924503768573,22.5113895136753,24.2116329641908,4.46458176421503,4.46458176421503,4.46458176421503,25.0,25.498253,-0.3375609328052427
170,25,29.6208248050649,97.7677091178925,25.1606919358471,18.8094553808082,20.924503768573,22.5113895136753,97.7677091178925,4.46458176421503,4.46458176421503,4.46458176421503,31.199934,-1.5791092006724057
180,25,33.1844042451824,97.7677091178925,29.6208248050649,25.1606919358471,18.8094553808082,20.924503768573,97.7677091178925,97.7677091178925,4.46458176421503,4.46458176421503,34.27643,-1.0920239774738505
