tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1,error
103820,41,39.7739527108243,64.1008955033556,39.2012752701594,38.2438586585343,39.3590472073051,40.6489211881333,64.1008955033556,0.01,0.01,0.01,40.213165,-0.43921257237882827
103830,41,40.5152445190253,64.1008955033556,39.7739527108243,39.2012752701594,38.2438586585343,39.3590472073051,64.1008955033556,64.1008955033556,0.01,0.01,40.810234,-0.29498955079891687
103840,41,39.3772966743128,0.01,40.5152445190253,39.7739527108243,39.2012752701594,38.2438586585343,64.1008955033556,64.1008955033556,64.1008955033556,0.01,39.724133,-0.34683586352899454
103850,41,37.9560808363409,0.01,39.3772966743128,40.5152445190253,39.7739527108243,39.2012752701594,0.01,64.1008955033556,64.1008955033556,64.1008955033556,38.586727,-0.630646305993082
103860,41,36.7265747351349,0.01,37.9560808363409,39.3772966743128,40.5152445190253,39.7739527108243,0.01,0.01,64.1008955033556,64.1008955033556,37.16501,-0.43843380978697155
103870,41,38.4941717674236,85.4837582468551,36.7265747351349,37.9560808363409,39.3772966743128,40.5152445190253,0.01,0.01,0.01,64.1008955033556,38.800194,-0.30602201919749206
103880,41,39.9439651887459,85.4837582468551,38.4941717674236,36.7265747351349,37.9560808363409,39.3772966743128,85.4837582468551,0.01,0.01,0.01,40.44554,-0.5015761930900382
103890,41,41.2654488508777,85.4837582468551,39.9439651887459,38.4941717674236,36.7265747351349,37.9560808363409,85.4837582468551,85.4837582468551,0.01,0.01,41.865284,-0.5998351151867496
103900,41,40.0537959980059,0.01,41.2654488508777,39.9439651887459,38.4941717674236,36.7265747351349,85.4837582468551,85.4837582468551,85.4837582468551,0.01,40.598213,-0.5444171977948784
103910,41,38.9920911904075,0.01,40.0537959980059,41.2654488508777,39.9439651887459,38.4941717674236,0.01,85.4837582468551,85.4837582468551,85.4837582468551,39.29424,-0.3021478537819533
103920,41,37.6184518174251,0.01,38.9920911904075,40.0537959980059,41.2654488508777,39.9439651887459,0.01,0.01,85.4837582468551,85.4837582468551,38.178802,-0.5603506728092782
103930,41,38.6564489878946,71.7100250350218,37.6184518174251,38.9920911904075,40.0537959980059,41.2654488508777,0.01,0.01,0.01,85.4837582468551,39.1672,-0.5107491932577446
103940,41,39.811787942676,71.7100250350218,38.6564489878946,37.6184518174251,38.9920911904075,40.0537959980059,71.7100250350218,0.01,0.01,0.01,39.977947,-0.16615929243142347
103950,41,40.7383623295068,71.7100250350218,39.811787942676,38.6564489878946,37.6184518174251,38.9920911904075,71.7100250350218,71.7100250350218,0.01,0.01,41.083645,-0.34528253743656023
103960,41,39.6712058690197,0.01,40.7383623295068,39.811787942676,38.6564489878946,37.6184518174251,71.7100250350218,71.7100250350218,71.7100250350218,0.01,40.01712,-0.34591449230842386
103970,41,38.4848013124634,0.01,39.6712058690197,40.7383623295068,39.811787942676,38.6564489878946,0.01,71.7100250350218,71.7100250350218,71.7100250350218,38.87886,-0.394059161169416
103980,41,37.0008702475721,0.01,38.4848013124634,39.6712058690197,40.7383623295068,39.811787942676,0.01,0.01,71.7100250350218,71.7100250350218,37.674816,-0.6739458840196946
103990,41,38.6199402943915,81.524001119074,37.0008702475721,38.4848013124634,39.6712058690197,40.7383623295068,0.01,0.01,0.01,71.7100250350218,39.03268,-0.4127402170831118
104000,42,39.9608842219049,81.524001119074,38.6199402943915,37.0008702475721,38.4848013124634,39.6712058690197,81.524001119074,0.01,0.01,0.01,40.401382,-0.4404982243841644
104010,42,41.1111991155357,81.524001119074,39.9608842219049,38.6199402943915,37.0008702475721,38.4848013124634,81.524001119074,81.524001119074,0.01,0.01,41.677452,-0.5662529718666462
104020,42,40.2386202423728,0.01,41.1111991155357,39.9608842219049,38.6199402943915,37.0008702475721,81.524001119074,81.524001119074,81.524001119074,0.01,40.407963,-0.16934255669946907
104030,42,39.0204294964894,0.01,40.2386202423728,41.1111991155357,39.9608842219049,38.6199402943915,0.01,81.524001119074,81.524001119074,81.524001119074,39.423325,-0.40289508847153854
