tiempo,referencia,hc,f_pid,predicted_hc,hc_dot,predicted_hc_dot,error,F_in,F_out,F_out_hat,residual
0,25,1e-06,0.0,1e-06,0.0,0.0,0.0,-78.23,0.020210000000000002,0.020210000000000002,0.0
30,25,0.0,0.0,1e-06,-2e-07,0.0,-1e-06,-78.23,0.0,0.020210000000000002,-0.020210000000000002
60,25,29.9215404441753,100.0,29.8579425624896,5.98430808883506,0.9952647187496534,0.06359788168569835,464.77,110.54988311768936,110.43233438530474,0.11754873238461983
90,25,25.8945919991672,0.0,26.012263598768,-0.8053896890016198,-0.12818929879072,-0.11767159960080065,-78.23,102.8420795392968,103.0754849348843,-0.2334053955874964
120,25,21.3534216480349,0.0,21.4135124979266,-0.9082340702264602,-0.15329170336138004,-0.06009084989170077,-78.23,93.3899303295175,93.52124272086199,-0.13131239134449402
150,25,23.2871770990321,39.1095528248259,23.3651532792488,0.38675109019944004,0.06505469271074003,-0.07797618021670161,134.1348718388046,97.52697109904919,97.69011722024304,-0.1631461211938472
180,25,19.4045040526157,18.3700256128802,19.4500427050362,-0.77653460928328,-0.1305036858070867,-0.04553865242050037,21.51923907793949,89.02614893230513,89.13055137056023,-0.10440243825509299
210,25,26.8551027591304,60.0116940356961,26.7080072652597,1.4901197413029401,0.24193215200744997,0.14709549387070098,247.63349861382983,104.73207854740846,104.44485621729994,0.28722233010851994
240,25,22.1350912663932,0.0,22.2773615656929,-0.94400229854744,-0.14768818998555996,-0.1422702992996996,-78.23,95.083896800246,95.3889768006452,-0.3050800003992009
270,25,21.8723384666032,30.7261461679332,21.9392060099541,-0.052550559958000065,-0.01127185185796004,-0.06686754335089873,88.61297369187726,94.51786920940994,94.66223773739078,-0.14436852798084487
300,25,22.5424509033232,33.544169945681,22.3936135062659,0.13402248734400005,0.015146916543726737,0.14883739705729937,103.9148428050478,95.9548387055183,95.63754134394412,0.31729736157417676
330,25,20.9009588089452,26.3572140618585,20.8362865585141,-0.32829841887559963,-0.051910898258393345,0.06467225043110147,64.88967235589165,92.39520176858046,92.25214529068899,0.14305647789147713
360,25,24.1902021246213,43.9622167740623,24.1020220087119,0.6578486631352198,0.10885784833992661,0.08818011590940245,160.48483708315825,99.39992623543057,99.2185904330863,0.1813358023442646
390,25,18.8576818025155,8.68508221343636,19.0580889252119,-1.06650406442116,-0.16813110278333324,-0.20040712269640082,-31.070003581040574,87.76279890656875,88.227909296198,-0.46511038962925966
420,25,27.3977310430213,65.8763626680209,27.6486444720941,1.7080098481011596,0.28635185156274,-0.2509134290728028,279.47864928735345,105.78488359831425,106.26817824553336,-0.4832946472191111
450,25,23.3577615144246,0.0,23.4064593228432,-0.8079939057193399,-0.1414061716416967,-0.04869780841860205,-78.23,97.67466344847979,97.77642973797572,-0.10176628949592725
480,25,19.1226178366604,17.6130077577958,19.2418751626817,-0.8470287355528399,-0.13881947200538333,-0.11925732602130168,17.408632124831186,88.37714881087025,88.65230049544051,-0.27515168457026107
510,25,27.2551736231731,63.0349237018176,27.1953879739028,1.6265111573025401,0.26511709370736997,0.0597856492702995,264.0496357008695,105.50931172584094,105.39352809898507,0.11578362685587251
540,25,22.6250954474382,0.0,22.8642666765407,-0.9260156351469803,-0.14437070991206996,-0.239171229102503,-78.23,96.13057134670007,96.63733659854073,-0.5067652518406618
570,25,21.2003358094645,25.4708513262252,21.0431281157202,-0.28495192759473936,-0.060704618694016686,0.15720769374430077,60.07672270140283,93.0545650647753,92.70890747069579,0.3456575940795119
600,25,23.5323493831745,40.7513984434934,23.4856322833016,0.46640271474199935,0.08141680558604669,0.04671709987289674,143.05009354816917,98.03901909289108,97.941655800196,0.09736329269507848
630,25,18.6091999176422,15.7405528654533,18.7316444560509,-0.9846298931064595,-0.15846626090835667,-0.12244453840870051,7.241202059411407,87.18266979211776,87.4690211524726,-0.28635136035484265
660,25,28.0900696185635,68.5413308832876,27.989933314549,1.8961739401842599,0.30860962861660324,0.10013630401450158,293.94942669625163,107.11313273493364,106.92204226314135,0.19109047179229322
690,25,24.0112672026423,0.0,23.812733384274,-0.8157604831842399,-0.13923999767583328,0.19853381836830053,-78.23,99.03161324770365,98.62134888389912,0.41026436380452935
720,25,18.5488805417551,10.6041592516614,18.6759268081042,-1.0924773321774404,-0.17122688587232665,-0.127046266349101,-20.649415263478602,87.04125929054953,87.3388351010133,-0.29757581046376913
750,25,28.3096196840446,69.1882561896765,28.0834403711132,1.9521478284578997,0.31358378543363324,0.22617931293140003,297.46223110994333,107.53091245400962,107.10049265658397,0.4304197974256567
780,25,24.0844480886257,0.0,23.9236961742882,-0.8450343190837799,-0.13865813989416662,0.16075191433749936,-78.23,99.18241136187125,98.85086015093944,0.3315512109318064
810,25,18.8890574964742,9.81929424948923,18.8168660863603,-1.0390781184302995,-0.17022766959759666,0.07219141011390207,-24.911232225273487,87.83577909369085,87.66777020926193,0.16800888442891448
840,25,27.4618264517913,65.5398583503147,27.4602039127697,1.7145537910634197,0.28811126088031336,0.0016225390216000335,277.6514308422088,105.90855012442618,105.90542135777423,0.0031287666519546065
870,25,23.1451675863041,0.0,23.1817949732115,-0.8633317730974397,-0.1426136313186067,-0.03662738690739786,-78.23,97.22914760573165,97.30605009051543,-0.0769024847837727
900,25,19.4395649645755,19.8930776368884,19.7101382682495,-0.7411205243457204,-0.11572189016539992,-0.2705733036740021,29.789411568304004,89.10654081686468,89.72452109568891,-0.6179802788242341
