tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1,error
900,23,24.8242257668266,24.2195722044372,25.5844225712796,26.3724615239547,26.8881104209365,28.3478210860681,24.2195722044372,24.2195722044372,0.01,0.01,24.91564,-0.09141411049273529
910,23,23.7635461338432,0.01,24.8242257668266,25.5844225712796,26.3724615239547,26.8881104209365,24.2195722044372,24.2195722044372,24.2195722044372,0.01,23.292656,0.4708901890189807
920,23,21.8764140610333,0.01,23.7635461338432,24.8242257668266,25.5844225712796,26.3724615239547,0.01,24.2195722044372,24.2195722044372,24.2195722044372,22.083801,-0.20738720849794845
930,23,19.9102254738642,0.01,21.8764140610333,23.7635461338432,24.8242257668266,25.5844225712796,0.01,0.01,24.2195722044372,24.2195722044372,20.230276,-0.3200506339238842
940,23,23.8575475041672,71.8940082280596,19.9102254738642,21.8764140610333,23.7635461338432,24.8242257668266,0.01,0.01,0.01,24.2195722044372,23.280022,0.577525836686732
950,23,26.7986402222749,71.8940082280596,23.8575475041672,19.9102254738642,21.8764140610333,23.7635461338432,71.8940082280596,0.01,0.01,0.01,26.709938,0.08870217295849514
960,23,29.4568405135043,71.8940082280596,26.7986402222749,23.8575475041672,19.9102254738642,21.8764140610333,71.8940082280596,71.8940082280596,0.01,0.01,28.966053,0.490787504471097
970,23,27.9817742303162,0.01,29.4568405135043,26.7986402222749,23.8575475041672,19.9102254738642,71.8940082280596,71.8940082280596,71.8940082280596,0.01,28.171555,-0.18978033511348613
980,23,26.4039291035921,0.01,27.9817742303162,29.4568405135043,26.7986402222749,23.8575475041672,0.01,71.8940082280596,71.8940082280596,71.8940082280596,26.72538,-0.3214508402555545
990,23,25.4809914358969,0.01,26.4039291035921,27.9817742303162,29.4568405135043,26.7986402222749,0.01,0.01,71.8940082280596,71.8940082280596,25.076159,0.40483291233733
1000,23,24.1867250936506,17.9735020570149,25.4809914358969,26.4039291035921,27.9817742303162,29.4568405135043,0.01,0.01,0.01,71.8940082280596,24.404043,-0.21731810398123486
1010,23,22.9777267216984,17.9735020570149,24.1867250936506,25.4809914358969,26.4039291035921,27.9817742303162,17.9735020570149,0.01,0.01,0.01,23.074112,-0.09638521677816314
1020,23,21.863182641781,17.9735020570149,22.9777267216984,24.1867250936506,25.4809914358969,26.4039291035921,17.9735020570149,17.9735020570149,0.01,0.01,21.825726,0.037457086361076364
1030,23,19.7229131178582,14.9449238305218,21.863182641781,22.9777267216984,24.1867250936506,25.4809914358969,17.9735020570149,17.9735020570149,17.9735020570149,0.01,20.586414,-0.8635012193000016
1040,23,18.1631579120755,14.9449238305218,19.7229131178582,21.863182641781,22.9777267216984,24.1867250936506,14.9449238305218,17.9735020570149,17.9735020570149,17.9735020570149,17.840084,0.32307383614776697
1050,23,16.1095737652264,14.9449238305218,18.1631579120755,19.7229131178582,21.863182641781,22.9777267216984,14.9449238305218,14.9449238305218,17.9735020570149,17.9735020570149,16.405128,-0.29555471377750564
1060,23,22.9569464337454,92.5275380847391,16.1095737652264,18.1631579120755,19.7229131178582,21.863182641781,14.9449238305218,14.9449238305218,14.9449238305218,17.9735020570149,23.089943,-0.13299649838350547
1070,23,27.2052256037719,92.5275380847391,22.9569464337454,16.1095737652264,18.1631579120755,19.7229131178582,92.5275380847391,14.9449238305218,14.9449238305218,14.9449238305218,27.559132,-0.35390601854255266
1080,23,30.8066697679802,92.5275380847391,27.2052256037719,22.9569464337454,16.1095737652264,18.1631579120755,92.5275380847391,92.5275380847391,14.9449238305218,14.9449238305218,30.74547,0.061199720983129424
1090,23,29.7381837882554,0.01,30.8066697679802,27.2052256037719,22.9569464337454,16.1095737652264,92.5275380847391,92.5275380847391,92.5275380847391,14.9449238305218,29.644411,0.09377270121926884
1100,23,28.471671650131,0.01,29.7381837882554,30.8066697679802,27.2052256037719,22.9569464337454,0.01,92.5275380847391,92.5275380847391,92.5275380847391,28.512579,-0.04090731410239812
1110,23,27.3840662570288,0.01,28.471671650131,29.7381837882554,30.8066697679802,27.2052256037719,0.01,0.01,92.5275380847391,92.5275380847391,27.20802,0.17604700043700205
1120,23,26.6303545617638,23.1318845211848,27.3840662570288,28.471671650131,29.7381837882554,30.8066697679802,0.01,0.01,0.01,92.5275380847391,26.67562,-0.04526456360241227
1130,23,26.0247879112481,23.1318845211848,26.6303545617638,27.3840662570288,28.471671650131,29.7381837882554,23.1318845211848,0.01,0.01,0.01,25.963787,0.061000832390678994
1140,23,25.113205753717,23.1318845211848,26.0247879112481,26.6303545617638,27.3840662570288,28.471671650131,23.1318845211848,23.1318845211848,0.01,0.01,25.37376,-0.2605544696716713
1150,23,23.7530919593146,0.01,25.113205753717,26.0247879112481,26.6303545617638,27.3840662570288,23.1318845211848,23.1318845211848,23.1318845211848,0.01,23.58907,0.1640225928595207
1160,23,22.042684633221,0.01,23.7530919593146,25.113205753717,26.0247879112481,26.6303545617638,0.01,23.1318845211848,23.1318845211848,23.1318845211848,22.15321,-0.11052505305829641
1170,23,20.4047542073422,0.01,22.042684633221,23.7530919593146,25.113205753717,26.0247879112481,0.01,0.01,23.1318845211848,23.1318845211848,20.364779,0.03997568866544299
1180,23,23.1069253398042,60.9802167890597,20.4047542073422,22.042684633221,23.7530919593146,25.113205753717,0.01,0.01,0.01,23.1318845211848,22.726444,0.38048109541943376
1190,23,25.4169053805202,60.9802167890597,23.1069253398042,20.4047542073422,22.042684633221,23.7530919593146,60.9802167890597,0.01,0.01,0.01,24.945608,0.4712972414821124
