tiempo,referencia,hc,f_pid
1,40,0.0193,0.0
26,40,40.0008,100.0
51,40,37.7816,0.0940821250000451
76,40,43.2799,39.7178801260206
101,40,41.2974,0.0
126,40,41.4127,0.0
151,40,39.2751,0.0
176,40,36.9998,12.9575703616449
201,40,34.5489,53.6691022427915
226,40,31.9054,97.4149081677146
251,40,34.1002,100.0
276,40,40.2894,100.0
301,40,45.3085,0.0
326,40,49.4262,0.0
351,40,47.7802,0.0
376,40,45.9632,0.0
401,39,44.1146,0.0
426,39,42.1137,0.0
451,39,40.0192,0.0
476,39,37.7889,0.0
501,39,35.4125,21.7814260493309
526,39,32.8133,64.1266116017522
551,39,30.967,100.0
576,39,34.5707,100.0
601,39,40.9185,79.1096032034783
626,39,45.7755,0.0
651,39,48.5264,0.0
676,39,46.7771,0.0
701,39,44.9582,0.0
726,39,43.0027,0.0
751,39,40.9691,0.0
776,39,38.8196,0.0
801,27,36.4883,3.34255606061116
826,27,33.9915,0.0
851,27,31.2753,0.0
876,27,28.2738,0.0
901,27,24.8376,0.0
926,27,20.8806,38.4431592885337
951,27,15.9508,100.0
976,27,18.7752,100.0
1001,27,31.4803,100.0
1026,27,38.7107,0.0
1051,27,44.048,0.0
1076,27,42.0684,0.0
1101,27,39.9587,0.0
1126,27,37.7563,0.0
1151,27,35.3656,0.0
1176,27,32.7603,0.0
1201,24,29.9517,0.0
1226,24,26.7459,0.0
1251,24,23.1129,0.0
1276,24,18.7513,15.5558162564202
1301,24,13.136,93.9222712103489
1326,24,5.3641,100.0
1351,24,27.0806,100.0
1376,24,35.846,0.0
1401,24,41.8613,0.0
1426,24,39.7761,0.0
1451,24,37.5056,0.0
1476,24,35.1052,0.0
1501,24,32.4743,0.0
1526,24,29.6028,0.0
1551,24,26.389,0.0
1576,24,22.6794,0.0
1601,47,18.222,23.5317711083767
1626,47,12.4467,100.0
1651,47,10.3709,100.0
1676,47,28.84,100.0
1701,47,36.9119,100.0
1726,47,42.6725,100.0
1751,47,47.2104,77.2777479978501
1776,47,51.0593,0.0
1801,47,53.2025,0.0
1826,47,51.6545,0.0
1851,47,50.0089,0.0
1876,47,48.3119,0.0
1901,47,46.5531,0.0
1926,47,44.7774,8.00892200104389
1951,47,42.7839,40.1684078538344
1976,47,40.7005,75.1846531718039
2001,38,40.9269,100.0
2026,38,43.9271,0.0
2051,38,48.2657,0.0
2076,38,46.5423,0.0
2101,38,44.7299,0.0
2126,38,42.7454,0.0
2151,38,40.6811,0.0
2176,38,38.5011,0.0
2201,38,36.1787,0.0
2226,38,33.6392,32.6844201780405
2251,38,30.8948,77.7960742020847
2276,38,30.5455,100.0
2301,38,35.777,100.0
2326,38,41.7542,39.8123342650413
2351,38,46.4814,0.0
2376,38,46.518,0.0
2401,23,44.6902,0.0
2426,23,42.7098,0.0
2451,23,40.6826,0.0
2476,23,38.4847,0.0
2501,23,36.1498,0.0
2526,23,33.6411,0.0
2551,23,30.8789,0.0
2576,23,27.8013,0.0
2601,23,24.3117,0.0
2626,23,20.2651,0.0
2651,23,15.1717,48.4486017403678
2676,23,7.7508,100.0
2701,23,17.838,100.0
2726,23,31.1106,91.8896701959135
2751,23,38.4503,0.0
2776,23,43.1625,0.0
2801,40,41.2144,0.0
2826,40,39.0167,0.0
2851,40,36.764,17.0329268159464
2876,40,34.2878,57.5311599937207
2901,40,31.9108,100.0
2926,40,34.6133,100.0
2951,40,40.8822,96.2862547215668
2976,40,45.7948,0.0
3001,40,49.6046,0.0
3026,40,47.9306,0.0
3051,40,46.1436,0.0
3076,40,44.2542,0.0
3101,40,42.3192,0.0
3126,40,40.2303,0.0
3151,40,38.0285,0.0
3176,40,35.6589,34.7874056856338
3201,23,33.1071,77.2797159265431
3226,23,32.9265,0.0
3251,23,37.5356,0.0
3276,23,35.1356,0.0
3301,23,32.5318,0.0
3326,23,29.6752,0.0
3351,23,26.4492,0.0
3376,23,22.7575,0.0
3401,23,18.3204,3.85377693922424
3426,23,12.5608,83.2569684557751
3451,23,2.7627,100.0
3476,23,25.0614,100.0
3501,23,34.6165,0.0
3526,23,40.9426,0.0
3551,23,38.803,0.0
3576,23,36.4842,0.0
3601,37,33.989,0.0
3626,37,31.2686,53.0735426885427
3651,37,28.2642,100.0
3676,37,30.973,100.0
3701,37,38.3291,100.0
3726,37,43.7614,0.0
3751,37,48.1258,0.0
3776,37,46.3735,0.0
3801,37,44.5147,0.0
3826,37,42.5909,0.0
3851,37,40.5106,0.0
3876,37,38.2969,0.0
3901,37,35.9623,0.0
3926,37,33.4128,17.9451077276736
3951,37,30.6504,63.2577973281755
3976,37,28.1314,100.0
4001,33,32.2312,100.0
4026,33,39.2036,13.0227233621833
4051,33,44.4272,0.0
4076,33,42.5023,0.0
4101,33,40.4216,0.0
4126,33,38.2593,0.0
4151,33,35.8755,0.0
4176,33,33.3055,0.0
4201,33,30.5394,0.0
4226,33,27.4313,43.2876393824209
4251,33,23.8868,98.6071158784262
4276,33,25.9284,100.0
4301,33,34.9538,100.0
4326,33,41.1652,0.0
4351,33,46.0317,0.0
4376,33,44.1739,0.0
4401,29,42.1662,0.0
4426,29,40.0878,0.0
4451,29,37.8637,0.0
4476,29,35.528,0.0
4501,29,32.8996,0.0
4526,29,30.0513,0.0
4551,29,26.9091,0.0
4576,29,23.2853,36.3482016753774
4601,29,19.003,100.0
4626,29,20.471,100.0
4651,29,32.2403,100.0
