tiempo,referencia,hc,f_pid
1,40,0.0151,0.0
26,40,40.0017,100.0
51,40,37.7888,0.0940821250000451
76,40,43.3026,39.7178801260206
101,40,41.295,0.0
126,40,41.3985,0.0
151,40,39.2794,0.0
176,40,37.0257,12.9575703616449
201,40,34.564,53.6691022427915
226,40,31.8646,97.4149081677146
251,40,34.0891,100.0
276,40,40.3123,100.0
301,40,45.3106,0.0
326,40,49.4444,0.0
351,40,47.7664,0.0
376,40,45.9715,0.0
401,39,44.1203,0.0
426,39,42.104,0.0
451,39,40.0249,0.0
476,39,37.7856,0.0
501,39,35.4244,21.7814260493309
526,39,32.8269,64.1266116017522
551,39,30.9654,100.0
576,39,34.5719,100.0
601,39,40.8977,79.1096032034783
626,39,45.7826,0.0
651,39,48.5254,0.0
676,39,46.7729,0.0
701,39,44.9362,0.0
726,39,43.0142,0.0
751,39,40.9626,0.0
776,39,38.8094,0.0
801,27,36.5082,3.34255606061116
826,27,33.9712,0.0
851,27,31.2839,0.0
876,27,28.2939,0.0
901,27,24.8481,0.0
926,27,20.8875,38.4431592885337
951,27,15.9729,100.0
976,27,18.7768,100.0
1001,27,31.4915,100.0
1026,27,38.6699,0.0
1051,27,44.0474,0.0
1076,27,42.0658,0.0
1101,27,39.988,0.0
1126,27,37.7558,0.0
1151,27,35.3832,0.0
1176,27,32.7424,0.0
1201,24,29.9327,0.0
1226,24,26.7342,0.0
1251,24,23.1389,0.0
1276,24,18.7401,15.5558162564202
1301,24,13.1475,93.9222712103489
1326,24,5.3621,100.0
1351,24,27.0874,100.0
1376,24,35.8476,0.0
1401,24,41.8391,0.0
1426,24,39.7691,0.0
1451,24,37.4904,0.0
1476,24,35.1168,0.0
1501,24,32.4877,0.0
1526,24,29.6338,0.0
1551,24,26.3931,0.0
1576,24,22.6581,0.0
1601,47,18.2301,23.5317711083767
1626,47,12.4335,100.0
1651,47,10.3732,100.0
1676,47,28.8283,100.0
1701,47,36.9144,100.0
1726,47,42.6735,100.0
1751,47,47.221,77.2777479978501
1776,47,51.0588,0.0
1801,47,53.1873,0.0
1826,47,51.6452,0.0
1851,47,50.0297,0.0
1876,47,48.322,0.0
1901,47,46.5445,0.0
1926,47,44.7602,8.00892200104389
1951,47,42.7823,40.1684078538344
1976,47,40.7053,75.1846531718039
2001,38,40.9173,100.0
2026,38,43.9234,0.0
2051,38,48.2733,0.0
2076,38,46.5287,0.0
2101,38,44.7255,0.0
2126,38,42.7172,0.0
2151,38,40.6614,0.0
2176,38,38.5133,0.0
2201,38,36.162,0.0
2226,38,33.6403,32.6844201780405
2251,38,30.8749,77.7960742020847
2276,38,30.5486,100.0
2301,38,35.7738,100.0
2326,38,41.7515,39.8123342650413
2351,38,46.4812,0.0
2376,38,46.5344,0.0
2401,23,44.6828,0.0
2426,23,42.7279,0.0
2451,23,40.6747,0.0
2476,23,38.4834,0.0
2501,23,36.1371,0.0
2526,23,33.6221,0.0
2551,23,30.8761,0.0
2576,23,27.801,0.0
2601,23,24.3305,0.0
2626,23,20.2855,0.0
2651,23,15.1641,48.4486017403678
2676,23,7.7502,100.0
2701,23,17.8612,100.0
2726,23,31.1084,91.8896701959135
2751,23,38.4597,0.0
2776,23,43.1959,0.0
2801,40,41.1853,0.0
2826,40,39.017,0.0
2851,40,36.758,17.0329268159464
2876,40,34.2761,57.5311599937207
2901,40,31.894,100.0
2926,40,34.5929,100.0
2951,40,40.8974,96.2862547215668
2976,40,45.7913,0.0
3001,40,49.5972,0.0
3026,40,47.9214,0.0
3051,40,46.1536,0.0
3076,40,44.28,0.0
3101,40,42.3207,0.0
3126,40,40.2219,0.0
3151,40,38.0268,0.0
3176,40,35.6312,34.7874056856338
3201,23,33.1006,77.2797159265431
3226,23,32.9496,0.0
3251,23,37.536,0.0
3276,23,35.1231,0.0
3301,23,32.5293,0.0
3326,23,29.6911,0.0
3351,23,26.4318,0.0
3376,23,22.7356,0.0
3401,23,18.3144,3.85377693922424
3426,23,12.5732,83.2569684557751
3451,23,2.7751,100.0
3476,23,25.051,100.0
3501,23,34.6372,0.0
3526,23,40.9401,0.0
3551,23,38.8112,0.0
3576,23,36.5001,0.0
3601,37,33.9991,0.0
3626,37,31.2608,53.0735426885427
3651,37,28.2415,100.0
3676,37,30.9944,100.0
3701,37,38.3427,100.0
3726,37,43.7523,0.0
3751,37,48.1366,0.0
3776,37,46.3834,0.0
3801,37,44.5104,0.0
3826,37,42.5981,0.0
3851,37,40.5076,0.0
3876,37,38.3101,0.0
3901,37,35.9492,0.0
3926,37,33.411,17.9451077276736
3951,37,30.646,63.2577973281755
3976,37,28.1222,100.0
4001,33,32.2284,100.0
4026,33,39.1852,13.0227233621833
4051,33,44.4456,0.0
4076,33,42.4807,0.0
4101,33,40.4084,0.0
4126,33,38.2361,0.0
4151,33,35.8721,0.0
4176,33,33.313,0.0
4201,33,30.5284,0.0
4226,33,27.4288,43.2876393824209
4251,33,23.9079,98.6071158784262
4276,33,25.9323,100.0
4301,33,34.9567,100.0
